i	NP	i
always	RB	always
thought	VBD	think
long	RB	long
boring	JJ	boring
talking	VBG	talk
heads	NNS	head
flick	VB	flick
full	JJ	full
static	JJ	static
interior	NN	interior
takes	VBZ	take
dude	NN	dude
wrong	JJ	wrong
"	``	"
election	NN	election
"	''	"
highly	RB	highly
fascinating	JJ	fascinating
thoroughly	RB	thoroughly
captivating	JJ	captivating
thriller	NN	thriller
drama	NN	drama
taking	VBG	take
deep	JJ	deep
realistic	JJ	realistic
view	NN	view
origins	NNS	origin
triads	NNS	triad
rituals	NNS	ritual
characters	NNS	character
constantly	RB	constantly
although	IN	although
as	IN	as
viewer	NN	viewer
kinda	RB	kinda
always	RB	always
remain	VB	remain
outsider	NN	outsider
it	PP	it
's	VBZ	be
still	RB	still
possible	JJ	possible
feel	NN	feel
suspense	NN	suspense
coming	VBG	come
certain	JJ	certain
decisions	NNS	decision
ambitions	NNS	ambition
characters	NNS	character
furthermore	RB	furthermore
johnnie	NN	<unknown>
succeeds	VBZ	succeed
creating	VBG	create
truly	RB	truly
opulent	JJ	opulent
images	NNS	image
meticulously	RB	meticulously
composed	VBN	compose
lighting	VBG	light
atmospheric	JJ	atmospheric
light	JJ	light
shadow	NN	shadow
contrasts	VBZ	contrast
although	IN	although
there	EX	there
's	VBZ	be
hardly	RB	hardly
any	DT	any
action	NN	action
ending	VBG	end
still	RB	still
shocking	JJ	shocking
it	PP	it
's	VBZ	be
ruthless	JJ	ruthless
depicting	VBG	depict
brutality	NN	brutality
cool	NN	cool
deserves	VBZ	deserve
more	JJR	more
attention	NN	attention
came	VBD	come
like	IN	like
minimalistic	JJ	<unknown>
acoustic	JJ	acoustic
guitar	NN	guitar
score	NN	score
quite	RB	quite
bit	NN	bit
