the	DT	the
plot	NN	plot
'	POS	'
edison	NP	Edison
'	POS	'
decent	JJ	decent
but	CC	but
actor	NN	actor
particular	JJ	particular
ruined	VBN	ruin
entire	JJ	entire
film	NN	film
justin	NN	<unknown>
timberlake	NN	<unknown>
ruined	VBN	ruin
film	NN	film
line	NN	line
uttered	VBD	utter
far	RB	far
worst	VB	worst
actors	NNS	actor
seen	VBN	see
face	VBP	face
fate	NN	fate
as	IN	as
entire	JJ	entire
f	NN	f
r	SYM	r
t	NN	t
squad	NN	squad
emotional	JJ	emotional
scene	NN	scene
action	NN	action
scene	NN	scene
silent	JJ	silent
scene	NN	scene
justin	NN	<unknown>
timberlake	NN	<unknown>
managed	VBD	manage
ruin	VB	ruin
not	RB	not
waste	JJ	waste
time	NN	time
watching	VBG	watch
film	NN	film
do	VBP	do
n't	RB	n't
bother	VB	bother
downloading	JJ	<unknown>
midget	NN	midget
porn	NN	porn
much	RB	much
better	RBR	well
choice	JJ	choice
justin	NN	<unknown>
you	PP	you
're	VBP	be
reading	VBG	read
stick	NN	stick
music	NN	music
though	IN	though
you	PP	you
're	VBP	be
no	RB	no
good	JJ	good
you	PP	you
've	VBP	have
wonderful	JJ	wonderful
job	NN	job
tricking	VBG	trick
people	NNS	people
thinking	VBG	think
actually	RB	actually
sing	VB	sing
