this	DT	this
arguably	RB	arguably
worst	JJS	bad
film	NN	film
seen	VBN	see
quite	RB	quite
appetite	NN	appetite
awful	JJ	awful
good	NN	good
just	RB	just
managed	VBD	manage
kind	NN	kind
adolescent	JJ	adolescent
humour	NN	humour
consistently	RB	consistently
tongue	VBP	tongue
cheek	NN	cheek
la	FW	la
rocky	JJ	rocky
horror	NN	horror
picture	NN	picture
really	RB	really
very	RB	very
funny	JJ	funny
like	IN	like
plan	NN	plan
outer	JJ	outer
space	NN	space
manage	VBP	manage
funny	JJ	funny
while	IN	while
apparently	RB	apparently
trying	VBG	try
serious	JJ	serious
as	IN	as
acting	VBG	act
looks	NNS	look
like	IN	like
rounded	VBN	round
up	RP	up
brain	NN	brain
dead	JJ	dead
teenagers	NNS	teenager
asked	VBD	ask
ad	NN	ad
lib	NN	lib
whole	JJ	whole
production	NN	production
compared	VBN	compare
tom	NN	tom
cruise	NN	cruise
looks	VBZ	look
like	IN	like
alec	NN	alec
guinness	NN	Guinness
decent	JJ	decent
interpretation	NN	interpretation
older	JJR	old
ghoul	NN	ghoul
busting	VBG	bust
broad	JJ	broad
motorcycle	NN	motorcycle
