i	NP	i
using	VBG	use
imdb	NN	<unknown>
years	NNS	year
never	RB	never
wanted	VBD	want
involved	JJ	involved
commentary	NN	commentary
moviesuntil	NN	<unknown>
documentary	JJ	documentary
many	JJ	many
problems	NNS	problem
hardly	RB	hardly
know	VBP	know
say	VB	say
not	RB	not
muslim	JJ	Muslim
nor	CC	nor
islamic	JJ	Islamic
studies	NNS	study
expert	NN	expert
but	CC	but
know	VBP	know
enough	RB	enough
shed	VB	shed
light	JJ	light
obvious	JJ	obvious
sided	VBN	side
viewpoint	NN	viewpoint
documentary	NN	documentary
espouses	VBZ	espouse
problems	NNS	problem
begin	VB	begin
fact	NN	fact
documentary	NN	documentary
most	JJS	most
documentaries	NNS	documentary
seen	VBN	see
anchor	VBP	anchor
few	JJ	few
valid	JJ	valid
points	NNS	point
surround	VBP	surround
points	NNS	point
debatable	JJ	debatable
interpretations	NNS	interpretation
misinformation	NN	misinformation
certainly	RB	certainly
case	NN	case
islam	NN	Islam
west	RB	west
needs	VBZ	need
know	VB	know
yes	UH	yes
fundamentalists	NNS	fundamentalist
world	NN	world
muslim	NN	Muslim
but	CC	but
build	VB	build
documentary	NN	documentary
all	DT	all
islam	JJ	<unknown>
small	JJ	small
percentage	NN	percentage
radicalized	VBD	radicalize
people	NNS	people
incredibly	RB	incredibly
misleading	VBG	mislead
really	RB	really
documentary	JJ	documentary
fundamentalist	JJ	fundamentalist
aspects	NNS	aspect
islam	NN	Islam
nothing	NN	nothing
more	RBR	more
like	IN	like
more	RBR	more
objectively	RB	objectively
explore	VB	explore
issues	NNS	issue
raised	VBN	raise
documentary	JJ	documentary
points	NNS	point
help	VBP	help
nothing	NN	nothing
positive	JJ	positive
islam	NN	Islam
presented	VBD	present
documentary	JJ	documentary
documentary	NN	documentary
focuses	VBZ	focus
middle	JJ	middle
east	JJ	east
but	CC	but
more	JJR	more
muslims	NNS	Muslim
live	VBP	live
outside	JJ	outside
region	NN	region
more	RBR	more
muslims	JJ	<unknown>
live	JJ	live
china	NN	china
believe	VBP	believe
not	RB	not
than	IN	than
saudi	NN	<unknown>
arabia	NN	<unknown>
40	CD	@card@
%	NN	%
all	DT	all
muslims	NNS	Muslim
live	VBP	live
pakistan	JJ	<unknown>
bangladesh	NN	<unknown>
india	NN	<unknown>
indonesia	NN	<unknown>
translation	NN	translation
qur'an	NN	<unknown>
used	VBD	use
documentary	JJ	documentary
questionable	JJ	questionable
watched	JJ	watched
documentary	NN	documentary
while	IN	while
viewing	VBG	view
translation	NN	translation
differences	NNS	difference
striking	VBG	strike
warned	VBN	warn
translation	NN	translation
used	VBN	use
documentary	NN	documentary
know	VBP	know
surrah	NNS	<unknown>
98	CD	@card@
6	CD	6
good	JJ	good
example	NN	example
documentary	NN	documentary
suggests	VBZ	suggest
surrah	NN	<unknown>
says	VBZ	say
disbelievers	NNS	disbeliever
hell	NN	hell
but	CC	but
translation	NN	translation
reads	VBZ	read
instead	RB	instead
"	``	"
those	DT	those
reject	NN	reject
truth	NN	truth
people	NNS	people
book	NN	book
polytheists	NNS	polytheist
hellfire	NN	hellfire
"	``	"
difference	NN	difference
