how	WRB	how
did	VBD	do
mike	NN	mike
hammer	VB	hammer
live	JJ	live
penthouse	NN	penthouse
golf	NN	golf
bag	NN	bag
stashed	VBD	stash
corner	JJ	corner
big	JJ	big
screen	NN	screen
cathode	NN	cathode
ray	NN	ray
tube	NN	tube
tv	NN	tv
snazzy	JJ	snazzy
fireplace	NN	fireplace
nah	NN	<unknown>
he	PP	he
'd	MD	will
knock	VB	knock
bottle	NN	bottle
rye	NN	rye
unfiltered	JJ	unfiltered
camels	NNS	camel
couch	NN	couch
floor	NN	floor
fly	VBP	fly
specked	JJ	specked
office	NN	office
stink	VBP	stink
lousy	JJ	lousy
downtown	NN	downtown
la	FW	la
flop	NN	flop
house	NN	house
wiping	VBG	wipe
dried	VBN	dry
red	JJ	red
crust	NN	crust
oil	NN	oil
smeared	VBD	smear
mud	NN	mud
face	NN	face
that	WDT	that
's	VBZ	be
spillane	NP	Spillane
wrote	VBD	write
trash	NN	trash
paperbacks	NNS	paperback
sure	RB	sure
but	CC	but
make	VB	make
worse	JJR	bad
desperate	JJ	desperate
scheming	JJ	scheming
producer	NN	producer
blank	JJ	blank
check	NN	check
thinks	VBZ	think
any	DT	any
film	NN	film
noir	NN	noir
titled	VBD	title
crap	NN	crap
sell	VB	sell
box	NN	box
office	NN	office
add	VBP	add
hill	NN	hill
hot	JJ	hot
tomatoes	NNS	tomato
just	RB	just
generally	RB	generally
screw	VB	screw
up	RP	up
story	NN	story
line	NN	line
retard	VB	retard
drugged	VBN	drug
screen	NN	screen
writer	NN	writer
that	WDT	that
's	VBZ	be
