when	WRB	when
got	VBD	get
n64	NN	<unknown>
fell	VBD	fall
love	NN	love
game	NN	game
super	JJ	super
mario	NP	Mario
64	CD	@card@
loved	VBD	love
graphics	NNS	graphics
great	JJ	great
it	PP	it
's	VBZ	be
time	NN	time
good	JJ	good
plot	NN	plot
great	JJ	great
courses	NNS	course
all	DT	all
best	JJS	good
music	NN	music
heard	VBD	hear
nintendo	NN	<unknown>
game	NN	game
do	VBP	do
n't	RB	n't
remember	VB	remember
plot	NN	plot
completely	RB	completely
but	CC	but
think	VB	think
princess	NN	princess
peach	NN	peach
kidnapped	VBD	kidnap
bowser	NN	bowser
mario	NN	<unknown>
rescue	NN	rescue
object	NN	object
game	NN	game
120	CD	@card@
stars	NNS	star
curses	VBZ	curse
castle	NN	castle
challnges	NNS	<unknown>
stars	VBZ	star
secert	NN	<unknown>
parts	NNS	part
castle	VBP	castle
more	JJR	more
stars	NNS	star
but	CC	but
course	NN	course
beat	NN	beat
bowser	NN	bowser
think	VBP	think
levels	NNS	level
beat	VBP	beat
bowser	NN	bowser
lets	VBZ	let
start	NN	start
characters	NNS	character
mario	NN	<unknown>
main	JJ	main
character	NN	character
gets	VBZ	get
helpful	JJ	helpful
advice	NN	advice
toad	NN	toad
basically	RB	basically
alliances	NNS	alliance
heard	VBD	hear
luigi	NP	Luigi
yoshi	NP	Yoshi
game	NN	game
end	NN	end
main	JJ	main
villain	NN	villain
bowser	NN	bowser
bunch	NN	bunch
characters	NNS	character
like	VBP	like
boo	VB	boo
goomba	NN	<unknown>
characters	NNS	character
really	RB	really
great	JJ	great
graphics	NNS	graphics
people	NNS	people
say	VBP	say
gameplay	NN	<unknown>
more	RBR	more
important	JJ	important
graphics	NNS	graphics
agree	VBP	agree
completely	RB	completely
but	CC	but
great	JJ	great
plot	NN	plot
great	JJ	great
graphics	NNS	graphics
especially	RB	especially
it	PP	it
's	VBZ	be
time	NN	time
whole	JJ	whole
bunch	NN	bunch
nintendo	NN	<unknown>
games	NNS	game
like	IN	like
007	CD	@card@
graphics	NNS	graphics
do	VBP	do
n't	RB	n't
compare	VB	compare
super	JJ	super
mario	NN	<unknown>
bright	JJ	bright
colors	NNS	color
great	JJ	great
effects	NNS	effect
awesome	JJ	awesome
sound	JJ	sound
effects	NNS	effect
graphics	NNS	graphics
water	NN	water
courses	NNS	course
very	RB	very
very	RB	very
good	JJ	good
bowser	NN	bowser
world	NN	world
ones	NNS	one
best	RBS	well
graphics	NNS	graphics
game	NN	game
music	NN	music
favorite	JJ	favorite
game	NN	game
growing	VBG	grow
up	RB	up
played	VBN	play
young	JJ	young
age	NN	age
i	NP	i
'd	MD	will
gladly	RB	gladly
leave	VB	leave
game	NN	game
all	DT	all
night	NN	night
music	NN	music
sleep	VBP	sleep
especially	RB	especially
music	NN	music
jolly	JJ	jolly
roger	NN	<unknown>
bay	NN	bay
peaceful	JJ	peaceful
wonderful	JJ	wonderful
great	JJ	great
too	RB	too
especially	RB	especially
again	RB	again
worlds	NNS	world
bowser	NN	bowser
ones	NNS	one
stick	VBP	stick
most	RBS	most
favorites	NNS	favorite
game	NN	game
favorite	JJ	favorite
past	JJ	past
time	NN	time
as	IN	as
developing	VBG	develop
gamer	JJR	game
love	NN	love
game	NN	game
gets	VBZ	get
10	CD	@card@
10	CD	@card@
5	CD	5
5	CD	5
play	NN	play
game	NN	game
