this	DT	this
rubbish	JJ	rubbish
excuse	NN	excuse
television	NN	television
single	JJ	single
most	JJS	most
god	NN	god
awful	JJ	awful
piece	NN	piece
trash	NN	trash
hit	VBD	hit
australian	JJ	Australian
television	NN	television
house	NN	house
mates	VBZ	mate
dull	JJ	dull
uninteresting	NN	uninteresting
ridiculously	RB	ridiculously
unintelligent	JJ	unintelligent
picked	VBN	pick
basis	NN	basis
likely	JJ	likely
attempt	NN	attempt
murder	NN	murder
live	VBP	live
as	RB	as
far	RB	far
as	IN	as
concerned	JJ	concerned
big	JJ	big
brother	NN	brother
decline	NN	decline
western	JJ	western
society	NN	society
showing	VBG	show
as	IN	as
society	NN	society
steep	JJ	steep
slope	NN	slope
brain	NN	brain
dead	JJ	dead
morons	NNS	moron
happened	VBD	happen
television	NN	television
did	VBD	do
n't	RB	n't
target	VB	target
lowest	JJS	low
common	JJ	common
denominator	NN	denominator
society	NN	society
as	IN	as
audience	NN	audience
cannot	MD	can
classified	VBN	classify
as	IN	as
entertainment	NN	entertainment
think	VBP	think
true	JJ	true
channel	NN	channel
remove	NN	remove
soul	NN	soul
happened	VBD	happen
rove	NN	rove
mcmanus	NN	<unknown>
respectable	JJ	respectable
comedian	NN	comedian
moving	VBG	move
channel	NN	channel
10	CD	@card@
horribly	RB	horribly
unfunny	JJ	unfunny
exception	NN	exception
simpsons	NNS	<unknown>
highly	RB	highly
intelligently	RB	intelligently
