i	NP	i
thought	VBD	think
going	VBG	go
watch	NN	watch
scary	JJ	scary
ended	VBN	end
up	IN	up
laughing	VBG	laugh
all	DT	all
way	NN	way
the	DT	the
scene	NN	scene
human	JJ	human
transformed	VBN	transform
werewolf	NN	werewolf
thought	VBD	think
kidding	VBG	kid
todays	NNS	today
games	NNS	game
times	CC	times
better	JJR	good
animations	NNS	animation
low	JJ	low
budget	NN	budget
fitting	NN	fitting
comment	NN	comment
recommend	VBP	recommend
wolf	NN	wolf
1994	CD	@card@
jack	NN	jack
nicholson	NN	<unknown>
good	JJ	good
werewolf	NN	werewolf
good	JJ	good
special	JJ	special
effects	NNS	effect
as	IN	as
human	JJ	human
transforming	VBG	transform
werewolf	NN	werewolf
unless	IN	unless
wish	NN	wish
good	JJ	good
laugh	NN	laugh
not	RB	not
recommend	VBP	recommend
watch	VB	watch
this	DT	this
joke	NN	joke
