it	PP	it
's	VBZ	be
interesting	JJ	interesting
train	NN	train
research	NN	research
flow	NN	flow
started	VBD	start
looking	VBG	look
article	NN	article
cristo	NN	<unknown>
's	VBZ	be
"	``	"
the	DT	the
gates	NNS	gate
"	``	"
central	JJ	central
park	NN	park
article	NN	article
stated	VBD	state
maysles	NNS	<unknown>
cristo	NN	<unknown>
's	POS	's
filmographers	NNS	<unknown>
years	NNS	year
hmmm	NP	<unknown>
got	VBD	get
looking	VBG	look
body	NN	body
work	NN	work
believe	VBP	believe
passed	VBN	pass
but	CC	but
still	RB	still
filming	VBG	film
cristo	NN	<unknown>
jean	NN	jean
claude	NN	<unknown>
stages	NNS	stage
creation	NN	creation
grey	NN	grey
gardens	NNS	garden
sounded	VBD	sound
very	RB	very
interesting	JJ	interesting
video	JJ	video
station	NN	station
boulder	NN	boulder
place	NN	place
look	VBP	look
obscure	JJ	obscure
offbeat	JJ	offbeat
course	NN	course
stock	NN	stock
dvd	NN	<unknown>
vhs	NNS	<unknown>
edith	NN	<unknown>
edie	NN	<unknown>
women	NNS	woman
living	NN	living
past	IN	past
oh	UH	oh
glorious	JJ	glorious
past	JJ	past
edith	NN	<unknown>
well	RB	well
born	VBN	bear
bouvier	NN	<unknown>
married	VBN	marry
well	RB	well
wonderful	JJ	wonderful
relationships	NNS	relationship
singer	NN	singer
forties	NNS	forty
daughter	NN	daughter
edie	NN	<unknown>
dbutante	NN	<unknown>
fashion	NN	fashion
model	NN	model
many	JJ	many
beaus	NNS	beau
never	RB	never
married	VBN	marry
point	NN	point
thirties	NNS	thirty
come	VBP	come
home	RB	home
recuperate	VB	recuperate
nervous	JJ	nervous
disorder	NN	disorder
kind	NN	kind
worrying	VBG	worry
too	RB	too
much	JJ	much
things	NNS	thing
shadow	NN	shadow
world	NN	world
live	VBP	live
though	IN	though
jackie	NN	<unknown>
o	NN	o
came	VBD	come
spruced	VBN	spruce
up	RP	up
place	NN	place
aunt	NN	aunt
cousin	NN	cousin
not	RB	not
evicted	VBD	evict
28	CD	@card@
room	NN	room
mansion	NN	mansion
worn	VBN	wear
worn	JJ	worn
but	CC	but
film	NN	film
notice	NN	notice
fresh	JJ	fresh
paint	NN	paint
walls	NNS	wall
look	VBP	look
carefully	RB	carefully
newspaper	NN	newspaper
clippings	NNS	clipping
very	RB	very
much	RB	much
dirty	JJ	dirty
mess	NN	mess
outfits	NN	outfits
edie	NN	<unknown>
comes	VBZ	come
up	RP	up
very	RB	very
clever	JJ	clever
creative	JJ	creative
viewer	NN	viewer
gets	VBZ	get
impression	NN	impression
edith	NN	<unknown>
likes	VBZ	like
nude	JJ	nude
but	CC	but
does	VBZ	do
n't	RB	n't
edith	JJ	<unknown>
really	RB	really
quite	RB	quite
beautiful	JJ	beautiful
shadow	NN	shadow
beauty	NN	beauty
still	RB	still
as	RB	as
sings	VBZ	sing
"	``	"
tea	NN	tea
two	CD	two
"	''	"
edie	NN	<unknown>
too	RB	too
beauty	NN	beauty
day	NN	day
quite	RB	quite
attractive	JJ	attractive
56	CD	@card@
good	NN	good
though	IN	though
not	RB	not
cat	NN	cat
urinating	VBG	urinate
edith	NN	<unknown>
's	POS	's
portait	NN	<unknown>
states	VBZ	state
"	``	"
least	JJS	least
doing	VBG	do
want	VBP	want
"	``	"
