if	IN	if
make	VB	make
bad	JJ	bad
film	NN	film
reflected	VBD	reflect
stupid	JJ	stupid
humanity	NN	humanity
prize	NN	prise
plot	NN	plot
centers	VBZ	center
bible	JJ	bible
prophecies	NNS	prophecy
lie	VBP	lie
hidden	JJ	hidden
messages	NNS	message
scriptures	NNS	scripture
prompt	VB	prompt
group	NN	group
power	NN	power
seeking	VBG	seek
thugs	NNS	thug
attempt	VBP	attempt
total	JJ	total
control	NN	control
world	NN	world
just	RB	just
stupid	JJ	stupid
does	VBZ	do
writer	NN	writer
believe	VB	believe
people	NNS	people
actually	RB	actually
acting	VBG	act
bad	RB	bad
best	JJS	good
casper	NN	<unknown>
van	NN	van
dien	NN	<unknown>
wasted	VBD	waste
talent	NN	talent
doing	VBG	do
film	NN	film
michael	NNS	<unknown>
york	VBP	york
's	VBZ	be
work	NN	work
fair	JJ	fair
match	NN	match
role	NN	role
center	NN	center
film	NN	film
did	VBD	do
good	JJ	good
job	NN	job
plot	NN	plot
sickening	VBG	sicken
very	RB	very
disturbing	VBG	disturb
no	DT	no
tender	JJ	tender
immature	JJ	immature
minds	NNS	mind
film	NN	film
basic	JJ	basic
good	JJ	good
vs	NP	vs
evil	JJ	evil
plot	NN	plot
astray	RB	astray
lot	RB	lot
mental	JJ	mental
disease	NN	disease
floating	VBG	float
film	NN	film
circles	NNS	circle
look	VBP	look
ways	NNS	way
market	NN	market
type	NN	type
junk	NN	junk
censored	VBN	censor
pg	NP	<unknown>
13	CD	@card@
rating	NN	rating
but	CC	but
still	RB	still
awful	JJ	awful
