i	NP	i
'll	MD	will
probably	RB	probably
lot	VB	lot
flack	NN	flack
hating	VBG	hate
guess	NN	guess
did	VBD	do
n't	RB	n't
approach	VB	approach
proper	JJ	proper
dewy	JJ	dewy
eyed	JJ	eyed
nostalgia	NN	nostalgia
generation	NN	generation
but	CC	but
suffice	VB	suffice
say	VB	say
st	JJ	<unknown>
elmo	NN	<unknown>
's	POS	's
pretty	JJ	pretty
crap	NN	crap
freaking	VBG	freak
tastic	JJ	<unknown>
as	RB	as
far	RB	far
as	IN	as
brat	NN	brat
pack	NN	pack
films	NNS	film
yet	CC	yet
lovely	JJ	lovely
example	NN	example
smug	JJ	smug
self	NN	self
indulgent	JJ	indulgent
neurosis	NN	neurosis
80s	JJ	<unknown>
rent	NN	rent
plot	NN	plot
virtually	RB	virtually
non	JJ	non
existent	JJ	existent
philosophies	NNS	philosophy
kitchy	JJ	<unknown>
best	JJS	good
poorly	RB	poorly
delivered	VBN	deliver
rest	NN	rest
time	NN	time
complete	JJ	complete
lack	NN	lack
resembling	VBG	resemble
sympathetic	JJ	sympathetic
characters	NNS	character
does	VBZ	do
n't	RB	n't
help	VB	help
situation	NN	situation
really	RB	really
no	DT	no
growth	NN	growth
no	DT	no
forward	JJ	forward
movement	NN	movement
all	DT	all
climactic	JJ	climactic
suicide	NN	suicide
scene	NN	scene
effectually	RB	effectually
neutered	VBD	neuter
again	RB	again
refusing	VBG	refuse
let	VBN	let
death	NN	death
resembling	VBG	resemble
reality	NN	reality
adult	NN	adult
life	NN	life
enter	VBP	enter
cookie	NN	cookie
cutter	NN	cutter
figure	NN	figure
simply	RB	simply
goes	VBZ	go
making	VBG	make
hate	VBP	hate
blandest	JJS	bland
most	RBS	most
predictable	JJ	predictable
way	NN	way
possible	JJ	possible
stalker	NN	stalker
creep	VB	creep
no	DT	no
discernible	JJ	discernible
reason	NN	reason
than	IN	than
stalker	NN	stalker
andie	NN	<unknown>
macdowell	NN	<unknown>
gorgeous	JJ	gorgeous
jackass	NN	jackass
does	VBZ	do
power	NN	power
constantly	RB	constantly
remind	VBP	remind
well	RB	well
jackass	NN	jackass
gorgeous	JJ	gorgeous
slut	NN	slut
hides	VBZ	hide
really	RB	really
soulful	JJ	soulful
deep	JJ	deep
pain	NN	pain
wild	JJ	wild
lifestyle	NN	lifestyle
poet	NN	poet
moods	NNS	mood
mopes	NNS	mope
full	JJ	full
3	CD	3
4	CD	4
film	NN	film
reveal	VBP	reveal
actually	RB	actually
full	JJ	full
teddy	NN	teddy
bears	VBZ	bear
sunshine	NN	sunshine
rainbows	NNS	rainbow
virgin	JJ	virgin
finally	RB	finally
whole	JJ	whole
happy	JJ	happy
human	JJ	human
getting	VBG	get
virgin	NN	virgin
's	POS	's
desire	NN	desire
hot	JJ	hot
roll	NN	roll
sack	NN	sack
jackass	NN	jackass
ditches	VBZ	ditch
really	RB	really
change	VB	change
real	JJ	real
time	NN	time
cheating	VBG	cheat
bastard	JJ	bastard
cheats	NNS	cheat
time	NN	time
caught	VBD	catch
finally	RB	finally
feminist	JJ	feminist
dousing	VBG	douse
holy	JJ	holy
water	NN	water
any	DT	any
soul	NN	soul
utters	VBZ	utter
"	``	"
commitment	NN	commitment
"	''	"
brings	VBZ	bring
final	JJ	final
beef	NN	beef
bond	NN	bond
super	JJ	super
cement	NN	cement
holding	NN	holding
people	NNS	people
as	IN	as
friends	NNS	friend
ca	MD	ca
n't	RB	n't
imagine	VB	imagine
just	RB	just
think	VBP	think
vortex	NN	vortex
created	VBD	create
all	DT	all
narcissism	NN	narcissism
centered	VBN	center
bar	IN	bar
all	DT	all
terrible	JJ	terrible
heads	NNS	head
toilets	NNS	toilet
near	IN	near
rape	NN	rape
sleeping	VBG	sleep
everrrryone	JJ	<unknown>
cherry	JJ	cherry
bffs	NNS	<unknown>
act	NN	act
like	IN	like
total	JJ	total
baboons	NNS	baboon
screwing	VBG	screw
feminist	JJ	feminist
she	PP	she
's	VBZ	be
like	IN	like
"	``	"
umm	NNS	<unknown>
actually	RB	actually
do	VBP	do
n't	RB	n't
want	VB	want
either	RB	either
anymore	RB	anymore
let	VBP	let
's	POS	's
friends	NNS	friend
hang	VBP	hang
totally	RB	totally
unawkward	JJ	<unknown>
way	NN	way
day	NN	day
knowing	VBG	know
hook	NN	hook
up	IN	up
any	DT	any
given	VBN	give
point	NN	point
but	CC	but
neither	DT	neither
satisfying	JJ	satisfying
enough	JJ	enough
commitment	NN	commitment
not	RB	not
word	NN	word
"	``	"
all	DT	all
smile	NN	smile
as	RB	as
say	VBP	say
"	``	"
golly	NN	golly
gee	NN	gee
never	RB	never
thought	VBD	think
great	JJ	great
idea	NN	idea
"	``	"
only	RB	only
it	PP	it
's	VBZ	be
not	RB	not
kinda	RB	kinda
way	NN	way
watching	VBG	watch
not	RB	not
