what	WP	what
1939	NP	@card@
helped	VBD	help
produce	VB	produce
many	JJ	many
excellent	JJ	excellent
hollywood	NN	<unknown>
films	NNS	film
well	RB	well
magic	JJ	magic
columbia	NN	<unknown>
picture	NN	picture
it	PP	it
's	VBZ	be
long	RB	long
forgotten	VBN	forget
screwball	JJ	screwball
comedy	NN	comedy
turner	NN	turner
classic	JJ	classic
begun	VBN	begin
maltin	NN	<unknown>
's	POS	's
book	NN	book
does	VBZ	do
not	RB	not
contain	VB	contain
nearly	RB	nearly
department	NN	department
amazing	JJ	amazing
mr	NN	Mr
williams	NNS	<unknown>
jewel	VBP	jewel
it	PP	it
's	VBZ	be
story	NN	story
rate	NN	rate
police	NN	police
detective	NN	detective
never	RB	never
time	NN	time
marry	VB	marry
intended	VBN	intend
as	IN	as
wedding	NN	wedding
bells	NNS	bell
ring	NN	ring
gets	VBZ	get
called	VBN	call
scene	NN	scene
murder	NN	murder
lady	NN	lady
question	NN	question
learn	VBP	learn
hard	JJ	hard
way	NN	way
not	RB	not
enjoy	VBP	enjoy
pursuit	NN	pursuit
criminals	NNS	criminal
but	CC	but
belong	VB	belong
police	NN	police
force	NN	force
lot	NN	lot
laughs	VBZ	laugh
process	NN	process
melvyn	NN	<unknown>
douglas	NNS	<unknown>
proved	VBD	prove
again	RB	again
few	JJ	few
peers	NNS	peer
light	JJ	light
comedy	NN	comedy
joan	NN	<unknown>
blondell	NN	<unknown>
peak	NN	peak
career	NN	career
delight	NN	delight
edward	JJ	<unknown>
brophy	NN	<unknown>
donald	NN	<unknown>
mcbride	NN	<unknown>
hilarious	JJ	hilarious
film	NN	film
goes	VBZ	go
bit	NN	bit
too	RB	too
long	RB	long
but	CC	but
cares	VBZ	care
screwball	JJ	screwball
comedies	NNS	comedy
always	RB	always
able	JJ	able
entertain	VBP	entertain
film	NN	film
belongs	VBZ	belong
right	RB	right
best	VB	best
