this	DT	this
bad	JJ	bad
it	PP	it
's	VBZ	be
basically	RB	basically
overdone	VBN	overdo
copy	NN	copy
michael	NN	<unknown>
jackson	NN	<unknown>
's	POS	's
thriller	NN	thriller
video	NN	video
worse	JJR	bad
special	JJ	special
effects	NNS	effect
consist	VBP	consist
lots	NNS	lot
glow	VBP	glow
dark	JJ	dark
paint	NN	paint
freaky	JJ	freaky
slapstick	NN	slapstick
fastmoving	VBG	<unknown>
camera	NN	camera
shots	NNS	shot
lots	NNS	lot
growling	VBG	growl
think	NN	think
dog	NN	dog
best	JJS	good
actor	NN	actor
whole	NN	whole
