when	WRB	when
the	DT	the
schedule	NN	schedule
christmas	NNS	<unknown>
title	NN	title
did	VBD	do
not	RB	not
sound	VB	sound
familiar	JJ	familiar
not	RB	not
read	VBN	read
novel	NN	novel
not	RB	not
heard	VBN	hear
film	NN	film
yet	CC	yet
having	VBG	have
read	VBN	read
content	NN	content
decided	VBD	decide
spend	VB	spend
christmas	NNS	<unknown>
evening	NN	evening
watching	VBG	watch
the	DT	the
effect	NN	effect
surprised	VBD	surprise
totally	RB	totally
not	RB	not
remember	VB	remember
saw	NN	saw
film	NN	film
single	JJ	single
moment	NN	moment
involved	VBD	involve
vow	NN	vow
cherish	VB	cherish
any	DT	any
doubt	NN	doubt
constitutes	VBZ	constitute
real	JJ	real
surprise	NN	surprise
received	VBD	receive
cinema	NN	cinema
arguments	NNS	argument
consider	VBP	consider
film	NN	film
highly	RB	highly
underrated	VBD	underrate
piece	NN	piece
good	JJ	good
cinema	NN	cinema
entire	JJ	entire
content	NN	content
particularly	RB	particularly
educational	JJ	educational
offer	NN	offer
modern	JJ	modern
audience	NN	audience
pure	JJ	pure
right	NN	right
faith	NN	faith
answers	VBZ	answer
universal	JJ	universal
questions	NNS	question
need	VBP	need
christ	NN	<unknown>
times	NNS	time
does	VBZ	do
love	VBP	love
still	RB	still
matter	VB	matter
faith	NN	faith
logics	NNS	logic
burden	NN	burden
suffering	NN	suffering
life	NN	life
really	RB	really
always	RB	always
trust	NN	trust
provides	VBZ	provide
answers	NNS	answer
content	NN	content
all	RB	all
happens	VBZ	happen
characters	NNS	character
as	RB	as
well	RB	well
happen	VB	happen
any	DT	any
second	JJ	second
exceptionally	RB	exceptionally
humane	JJ	humane
main	JJ	main
characters	NNS	character
experience	VBP	experience
inner	JJ	inner
struggles	NNS	struggle
cope	VB	cope
extremely	RB	extremely
hard	JJ	hard
decisions	NNS	decision
better	JJR	good
kyle	NN	kyle
david	NN	<unknown>
denman	NN	<unknown>
teri	NP	Teri
megan	NP	Megan
paul	NP	Paul
start	NN	start
lives	NNS	life
forget	VBP	forget
family	NN	family
retain	VBP	retain
values	NNS	value
taught	VBD	teach
home	RB	home
better	JJR	good
john	NN	john
ken	VBP	ken
howard	RB	<unknown>
leave	VB	leave
ellen	JJ	<unknown>
barbara	NN	<unknown>
babcock	NN	<unknown>
sick	JJ	sick
wife	NN	wife
start	VB	start
new	JJ	new
happy	JJ	happy
life	NN	life
julia	NN	<unknown>
donna	NN	<unknown>
bullock	NN	bullock
woman	NN	woman
falls	VBZ	fall
love	NN	love
fact	NN	fact
ellen	NN	<unknown>
no	RB	no
longer	RBR	longer
recognizes	VBZ	recognize
yet	CC	yet
decides	VBZ	decide
vow	NN	vow
wife	NN	wife
eternal	JJ	eternal
fidelity	NN	fidelity
john	NN	john
's	POS	's
rebellious	JJ	rebellious
brother	NN	brother
phil	NN	<unknown>
d	NN	d
david	NN	<unknown>
morin	NN	<unknown>
better	RBR	well
easy	JJ	easy
life	NN	life
although	IN	although
does	VBZ	do
not	RB	not
bring	VB	bring
satisfaction	NN	satisfaction
start	NN	start
think	VBP	think
seriously	RB	seriously
life	NN	life
phil	NN	<unknown>
's	POS	's
prayer	NN	prayer
god	NN	god
park	NN	park
psychological	JJ	psychological
masterwork	NN	masterwork
universal	JJ	universal
aspect	NN	aspect
humanity	NN	humanity
words	NNS	word
as	RB	as
well	RB	well
said	VBD	say
everybody	NN	everybody
no	DT	no
matter	NN	matter
live	VBP	live
great	JJ	great
portrayal	NN	portrayal
family	NN	family
not	RB	not
very	RB	very
popular	JJ	popular
nowadays	RB	nowadays
problems	NNS	problem
yet	RB	yet
always	RB	always
more	JJR	more
powerful	JJ	powerful
gets	VBZ	get
people	NNS	people
"	``	"
something	NN	something
"	''	"
love	NN	love
trust	NN	trust
know	VBP	know
bit	NN	bit
idealistic	JJ	idealistic
not	RB	not
all	DT	all
families	NNS	family
rely	VBP	rely
fidelity	NN	fidelity
not	RB	not
as	RB	as
simple	JJ	simple
as	IN	as
nevertheless	RB	nevertheless
very	RB	very
educational	JJ	educational
aspect	NN	aspect
realistic	JJ	realistic
fourth	JJ	fourth
entire	JJ	entire
film	NN	film
focuses	VBZ	focus
people	NNS	people
's	POS	's
mutual	JJ	mutual
help	NN	help
want	VBP	want
live	JJ	live
happy	JJ	happy
lives	NNS	life
society	NN	society
understand	VBP	understand
thing	NN	thing
help	NN	help
alexander	NN	<unknown>
ossie	NN	<unknown>
davis	NN	<unknown>
example	NN	example
attitude	NN	attitude
beginning	VBG	begin
talk	NN	talk
john	NN	john
praying	VBG	pray
later	RBR	later
helps	VBZ	help
brother	NN	brother
alexander	NN	<unknown>
kinda	RB	kinda
"	``	"
angel	NN	angel
"	''	"
sent	VBN	send
john	NN	john
family	NN	family
is	VBZ	be
n't	RB	n't
possible	JJ	possible
angels	NNS	angel
fifth	JJ	fifth
artistic	JJ	artistic
features	NNS	feature
worth	JJ	worth
attention	NN	attention
performances	NNS	performance
barbara	NN	<unknown>
babcock	NN	<unknown>
gives	VBZ	give
authentic	JJ	authentic
performance	NN	performance
as	IN	as
ellen	NN	<unknown>
although	IN	although
difficult	JJ	difficult
role	NN	role
does	VBZ	do
perfect	JJ	perfect
job	NN	job
consider	VB	consider
instance	NN	instance
moment	NN	moment
appears	VBZ	appear
school	NN	school
badly	RB	badly
wants	VBZ	want
teach	VBP	teach
again	RB	again
ken	VB	ken
howard	RB	<unknown>
memorable	JJ	memorable
as	IN	as
faithful	JJ	faithful
husband	NN	husband
picture	NN	picture
most	JJS	most
memorable	JJ	memorable
scene	NN	scene
john	NN	john
ellen	JJ	<unknown>
park	NN	park
walking	VBG	walk
fallen	VBN	fall
leaves	NNS	leave
autumn	NN	autumn
while	IN	while
sunshine	NN	sunshine
love	NN	love
spreads	NNS	spread
interpreted	VBN	interpret
as	IN	as
sort	NN	sort
symbol	NN	symbol
sorrow	NN	sorrow
always	RB	always
illuminated	VBD	illuminate
light	JJ	light
joy	NN	joy
vow	NN	vow
cherish	VBP	cherish
wonderful	JJ	wonderful
realistically	RB	realistically
showed	VBN	show
means	NNS	mean
love	VBP	love
fidelity	NN	fidelity
as	IN	as
well	RB	well
again	RB	again
proved	VBN	prove
beautiful	JJ	beautiful
live	RB	live
believe	VBP	believe
end	NN	end
like	IN	like
quote	NN	quote
profound	JJ	profound
words	NNS	word
very	RB	very
touching	VBG	touch
hope	NN	hope
dokyle	NN	<unknown>
uncle	NN	uncle
phil	NN	<unknown>
yes	NN	yes
john	NN	john
brighton	NN	<unknown>
lives	VBZ	live
according	VBG	accord
bible	NN	bible
but	CC	but
nobody	NN	nobody
forces	NNS	force
yet	RB	yet
according	VBG	accord
rules	NNS	rule
live	VBP	live
