i	NP	i
grey	JJ	grey
garden	NN	garden
's	POS	's
gripping	JJ	gripping
film	NN	film
amazingly	RB	amazingly
intimatelook	VBD	<unknown>
too	RB	too
eccentrics	NNS	eccentric
basically	RB	basically
right	JJ	right
idea	NN	idea
forgetsociety	NN	<unknown>
live	VBP	live
delapidated	JJ	<unknown>
house	NN	house
no	DT	no
heating	NN	heating
hugebrood	NN	<unknown>
cats	VBZ	cat
raccoons	NNS	raccoon
persuing	VBG	<unknown>
interests	NNS	interest
rathermundainly	RB	<unknown>
all	RB	all
while	IN	while
chattering	VBG	chatter
camera	NN	camera
big	JJ	big
edie	NN	<unknown>
little	JJ	little
edie	NN	<unknown>
crazies	NNS	crazy
mazles	VBZ	<unknown>
bros	NNS	<unknown>
chosen	VBN	choose
document	NN	document
like	IN	like
characters	NNS	character
afellini	JJ	<unknown>
film	NN	film
stranger	NN	stranger
makes	VBZ	make
any	DT	any
sense	NN	sense
old	JJ	old
edie	NN	<unknown>
isalmost	RB	<unknown>
fully	RB	fully
bedridden	JJ	bedridden
pile	NN	pile
papers	NNS	paper
clothes	NNS	clothes
dirty	VBP	dirty
dishesgrowing	JJ	<unknown>
little	JJ	little
edie	NN	<unknown>
more	RBR	more
interesting	JJ	interesting
sheprances	NNS	<unknown>
house	NN	house
always	RB	always
wearing	VBG	wear
baboushka	NN	<unknown>
likeheaddress	NN	<unknown>
head	NN	head
completely	RB	completely
covering	VBG	cover
hair	NN	hair
wenever	NN	<unknown>
hair	NN	hair
film	NN	film
nor	CC	nor
hintthat	NN	<unknown>
still	RB	still
much	JJ	much
age	NN	age
fifty	CD	fifty
though	IN	though
stillbeautiful	JJ	<unknown>
full	JJ	full
life	NN	life
grey	NN	grey
gardens	VBZ	garden
sense	NN	sense
women'slives	NNS	<unknown>
much	RB	much
less	RBR	less
than	IN	than
littleedie	NN	<unknown>
probably	RB	probably
sadder	JJR	sad
while	IN	while
mother	NN	mother
herearlier	NN	<unknown>
years	NNS	year
got	VBD	get
married	JJ	married
family	NN	family
lived	VBD	live
luxuriously	RB	luxuriously
andeven	JJ	<unknown>
recordings	NNS	recording
scene	NN	scene
77	CD	@card@
singsalong	NN	<unknown>
recording	NN	recording
"	''	"
tea	NN	tea
two	CD	two
"	''	"
decades	NNS	decade
ago	RB	ago
isone	JJ	<unknown>
films	NNS	film
best	JJS	good
scenes	NNS	scene
edie	NN	<unknown>
left	VBD	leave
promicing	VBG	<unknown>
career	NN	career
as	IN	as
amodel	JJ	<unknown>
care	NN	care
ailing	VBG	ail
mother	NN	mother
58	CD	@card@
still	RB	still
longed	VBN	long
tofind	NN	<unknown>
prince	NN	prince
charming	JJ	charming
little	JJ	little
edie	NN	<unknown>
still	RB	still
little	JJ	little
girl	NN	girl
full	JJ	full
dreams	NNS	dream
glamour	NN	glamour
fame	NN	fame
domestic	JJ	domestic
romanticbliss	NN	<unknown>
yet	RB	yet
fulfilled	VBN	fulfill
highlights	NNS	highlight
film	NN	film
include	VBP	include
opening	NN	opening
moments	NNS	moment
littleedie	NN	<unknown>
explains	VBZ	explain
outfit	NN	outfit
camera	NN	camera
"	''	"
tea	NN	tea
two	CD	two
"	''	"
sequence	NN	sequence
birthday	NN	birthday
party	NN	party
climactic	JJ	climactic
argument	NN	argument
grocery	NN	grocery
deliverscene	NN	<unknown>
scene	NN	scene
attic	NN	attic
whole	JJ	whole
thing	NN	thing
incrediblycandid	NNS	<unknown>
unpretencious	JJ	<unknown>
it	PP	it
's	VBZ	be
all	DT	all
more	JJR	more
remarcablesince	NN	<unknown>
it	PP	it
's	VBZ	be
all	RB	all
real	JJ	real
suggest	VBP	suggest
seeing	VBG	see
grey	JJ	grey
gardens	NNS	garden
kennethanger	NN	<unknown>
short	JJ	short
puce	JJ	puce
moment	NN	moment
criterion	NN	criterion
dvd	NNS	<unknown>
$35	JJ	<unknown>
00	CD	@card@
but	CC	but
it'sworth	NN	<unknown>
penny	NN	penny
