i	NP	i
not	RB	not
people	NNS	people
just	RB	just
online	JJ	online
decide	VBP	decide
worst	JJS	bad
doubt	NN	doubt
look	NN	look
reviews	VBZ	review
however	RB	however
time	VB	time
seen	VBN	see
horrible	JJ	horrible
wanted	JJ	wanted
write	NN	write
bad	JJ	bad
was	VBD	be
love	NN	love
bad	JJ	bad
ed	NN	editor
wood	NN	wood
genius	NN	genius
thought	VBD	think
bloody	JJ	bloody
murder	NN	murder
jeepers	NNS	<unknown>
creepers	NNS	creeper
most	JJS	most
horrible	JJ	horrible
horror	NN	horror
good	JJ	good
however	RB	however
not	RB	not
single	JJ	single
good	JJ	good
thing	NN	thing
say	VBP	say
film	NN	film
plot	NN	plot
basically	RB	basically
non	JJ	non
existent	JJ	existent
reading	NN	reading
review	NN	review
wastes	VBZ	waste
money	NN	money
discern	VB	discern
plot	NN	plot
but	CC	but
advise	VB	advise
nickel	JJ	nickel
worth	NN	worth
more	RBR	more
than	IN	than
watching	VBG	watch
special	JJ	special
effects	NNS	effect
bad	RB	bad
acting	VBG	act
bad	JJ	bad
leads	NNS	lead
attractive	JJ	attractive
but	CC	but
that	WDT	that
's	VBZ	be
all	DT	all
not	RB	not
type	NN	type
spoil	NN	spoil
but	CC	but
invite	VB	invite
email	NN	<unknown>
foxbarking	NN	<unknown>
yahoo	NN	yahoo
com	NN	com
ask	VB	ask
opinion	NN	opinion
waste	NN	waste
dime	NN	dime
tell	VBP	tell
love	VB	love
bad	JJ	bad
love	NN	love
horror	NN	horror
love	VBP	love
new	JJ	new
inventive	JJ	inventive
love	NN	love
horror	NN	horror
porn	NN	porn
stuff	NN	stuff
like	IN	like
hostel	NN	hostel
reviewers	NNS	reviewer
claimed	VBD	claim
like	IN	like
but	CC	but
obviously	RB	obviously
thought	VBD	think
cause	NN	cause
roger	NN	<unknown>
bart	NN	<unknown>
hostel	NN	hostel
2	CD	2
but	CC	but
number	NN	number
1	CD	1
most	RBS	most
worthless	JJ	worthless
stupid	JJ	stupid
dumbass	NN	<unknown>
disregard	NN	disregard
review	NN	review
coming	VBG	come
not	RB	not
sat	VBN	sit
entire	JJ	entire
premiere	NN	premiere
house	NN	house
dead	JJ	dead
but	CC	but
actually	RB	actually
bought	VBD	buy
copy	NN	copy
