i	NP	i
cannot	MD	can
believe	VB	believe
created	VBN	create
think	VBP	think
points	NNS	point
director	NN	director
trying	VBG	try
make	VB	make
artistic	JJ	artistic
piece	NN	piece
but	CC	but
just	RB	just
makes	VBZ	make
worse	JJR	bad
zombies	NNS	zombie
look	VBP	look
like	IN	like
applied	VBN	apply
too	RB	too
much	JJ	much
eye	NN	eye
makeup	NN	makeup
zombies	NNS	zombie
few	JJ	few
minutes	NNS	minute
finally	RB	finally
maybe	RB	maybe
zombies	NNS	zombie
total	VBP	total
definitely	RB	definitely
not	RB	not
nation	NN	nation
best	RBS	well
definitely	RB	definitely
credits	VBZ	credit
painful	JJ	painful
experience	NN	experience
finally	RB	finally
finished	VBD	finish
again	RB	again
reiterate	VB	reiterate
user	NN	user
comments	NNS	comment
voodoo	VBP	voodoo
priestesses	NNS	priestess
strange	RB	strange
not	RB	not
make	VB	make
much	JJ	much
sense	NN	sense
whole	JJ	whole
scene	NN	scene
snake	NN	snake
romanian	JJ	Romanian
girl	NN	girl
just	RB	just
does	VBZ	do
not	RB	not
make	VB	make
sense	NN	sense
all	RB	all
never	RB	never
explained	VBN	explain
