when	WRB	when
saw	VBD	see
mary	JJ	<unknown>
louise	NP	Louise
parker	NN	<unknown>
associated	VBN	associate
epic	NN	epic
novel	NN	novel
turned	VBD	turn
film	NN	film
intrigued	VBD	intrigue
fan	NN	fan
book	NN	book
assumed	VBD	assume
she	PP	she
'd	VBD	have
playing	VBG	play
tony	JJ	tony
roz	NN	<unknown>
charis	NNS	<unknown>
but	CC	but
more	RBR	more
intrigued	VBN	intrigue
turn	VBP	turn
very	RB	very
head	VB	head
y	NN	y
almost	RB	almost
psychological	JJ	psychological
but	CC	but
not	RB	not
psychological	JJ	psychological
thriller	NN	thriller
novel	NN	novel
accessible	JJ	accessible
had	VBD	have
n't	RB	n't
read	VBN	read
novel	NN	novel
least	RBS	least
mildly	RB	mildly
satisfying	JJ	satisfying
book	NN	book
complex	JJ	complex
reflection	NN	reflection
society	NN	society
women	NNS	woman
modern	JJ	modern
life	NN	life
interested	JJ	interested
used	VBD	use
3	CD	3
different	JJ	different
narratives	NNS	narrative
lead	VBP	lead
unfolding	VBG	unfold
story	NN	story
film	NN	film
actually	RB	actually
did	VBD	do
crime	NN	crime
biggest	JJS	big
error	NN	error
confusing	JJ	confusing
issue	NN	issue
oxygen	NN	oxygen
network	NN	network
advertises	VBZ	advertise
as	IN	as
women	NNS	woman
amazing	JJ	amazing
book	NN	book
complex	JJ	complex
wonderful	JJ	wonderful
terrible	JJ	terrible
women	NNS	woman
change	NN	change
protagonist	NN	protagonist
3	CD	3
women	NNS	woman
dumb	JJ	dumb
cop	NN	cop
no	DT	no
real	JJ	real
motive	NN	motive
involved	VBN	involve
story	NN	story
like	IN	like
adapted	VBN	adapt
took	VBD	take
easy	JJ	easy
way	NN	way
using	VBG	use
guy	NN	guy
straight	RB	straight
up	RB	up
ask	VB	ask
roz	NP	Roz
tony	JJ	tony
charis	NNS	<unknown>
knew	VBD	know
zenia	NNS	<unknown>
doing	VBG	do
rushed	VBN	rush
bulk	NN	bulk
book	NN	book
doing	VBG	do
though	IN	though
muddied	VBN	muddy
story	NN	story
cut	VBD	cut
great	JJ	great
characters	NNS	character
aside	RB	aside
making	VBG	make
audience	NN	audience
no	DT	no
credible	JJ	credible
associate	NN	associate
film	NN	film
women	NNS	woman
are	VBP	be
n't	RB	n't
people	NNS	people
characters	NNS	character
book	NN	book
zenia	NN	<unknown>
does	VBZ	do
fake	JJ	fake
death	NN	death
but	CC	but
book	NN	book
mentions	VBZ	mention
point	NN	point
while	IN	while
film	NN	film
wastes	NNS	waste
30	CD	@card@
45	CD	@card@
minutes	NNS	minute
focusing	VBG	focus
cop	NN	cop
running	VBG	run
doing	VBG	do
nothing	NN	nothing
use	NN	use
tried	VBD	try
make	VB	make
complex	JJ	complex
book	NN	book
episode	NN	episode
law	NN	law
order	NN	order
csi	NN	<unknown>
turns	VBZ	turn
mary	JJ	<unknown>
louise	NP	Louise
parker	NN	<unknown>
played	VBD	play
zenia	NN	<unknown>
wrong	JJ	wrong
zenia	NN	<unknown>
catherine	NN	<unknown>
zeta	NN	zeta
jones	NNS	<unknown>
angelina	NN	<unknown>
jolie	NN	<unknown>
maybe	RB	maybe
scarlett	NP	Scarlett
johnasson	NP	<unknown>
type	NN	type
woman	NN	woman
men	NNS	man
ca	MD	ca
n't	RB	n't
not	RB	not
adore	VB	adore
woman	NN	woman
women	NNS	woman
