i	NP	i
recently	RB	recently
watched	VBD	watch
belle	NN	belle
epoque	NN	<unknown>
thinking	VBG	think
wonderful	JJ	wonderful
as	RB	as
did	VBD	do
win	NN	win
oscar	NN	oscar
best	JJS	good
foreign	JJ	foreign
language	NN	language
film	NN	film
bit	NN	bit
underwhelmed	VBN	underwhelm
predictability	NN	predictability
simplicity	NN	simplicity
film	NN	film
maybe	RB	maybe
conflict	NN	conflict
time	NN	time
filmed	VBD	film
plot	NN	plot
man	NN	man
falling	VBG	fall
beautiful	JJ	beautiful
women	NNS	woman
eventually	RB	eventually
falling	VBG	fall
good	JJ	good
girl	NN	girl
many	JJ	many
times	NNS	time
aside	RB	aside
predictability	NN	predictability
plot	NN	plot
scenes	NNS	scene
film	NN	film
felt	VBD	feel
really	RB	really
place	VB	place
storyline	NN	storyline
ex	IN	ex
certain	JJ	certain
event	NN	event
wedding	NN	wedding
times	NNS	time
film	NN	film
bit	VBD	bite
preachy	JJ	preachy
it	PP	it
's	VBZ	be
ideas	NNS	idea
relation	NN	relation
franco	NN	<unknown>
era	NN	era
film	NN	film
set	VBD	set
church	NN	church
thing	NN	thing
film	NN	film
going	VBG	go
cutesy	JJ	cutesy
moments	NNS	moment
scenery	NN	scenery
character	NN	character
violeta	NN	<unknown>
strong	JJ	strong
independent	JJ	independent
woman	NN	woman
times	NNS	time
women	NNS	woman
not	RB	not
really	RB	really
associated	VBN	associate
characteristics	NNS	characteristic
