its	PP$	its
spelled	VBN	spell
s	NN	S
l	NN	l
s	JJ	<unknown>
h	NN	h
e	SYM	e
r	SYM	r
s	JJ	<unknown>
happy	JJ	happy
main	JJ	main
character	NN	character
flashed	VBD	flash
boobs	NNS	boob
pretty	RB	pretty
tight	RB	tight
pretty	RB	pretty
much	JJ	much
blows	NNS	blow
acting	VBG	act
like	IN	like
e	NN	e
list	NN	list
it	PP	it
's	VBZ	be
shown	VBN	show
well	RB	well
not	RB	not
mention	VB	mention
low	JJ	low
budget	NN	budget
preacherman	NN	<unknown>
chainsaw	NN	chainsaw
charlie	NN	charlie
played	VBD	play
person	NN	person
whole	NN	whole
looks	VBZ	look
like	IN	like
shot	NN	shot
camcorder	NN	camcorder
instead	RB	instead
half	DT	half
way	NN	way
decent	JJ	decent
film	NN	film
reason	NN	reason
liked	VBN	like
chainsaw	NP	chainsaw
charlie	NN	charlie
doctor	NN	doctor
ripper	NN	ripper
funny	NN	funny
said	VBD	say
many	JJ	many
stupid	JJ	stupid
things	NNS	thing
laugh	NN	laugh
than	IN	than
blockbuster	JJ	blockbuster
favor	NN	favor
hide	NN	hide
lawnmowerman	NN	<unknown>
2	CD	2
anybody	NN	anybody
thinks	VBZ	think
good	RB	good
mentally	RB	mentally
evaluated	VBN	evaluate
