when	WRB	when
little	JJ	little
parents	NNS	parent
took	VBD	take
theater	NN	theater
interiors	NNS	interior
many	JJ	many
watched	VBN	watch
parents	NNS	parent
but	CC	but
walked	VBD	walk
never	RB	never
seen	VBN	see
interiors	NNS	interior
just	RB	just
recently	RB	recently
lived	VBN	live
rest	NN	rest
life	NN	life
pretentious	JJ	pretentious
ponderous	JJ	ponderous
painfully	RB	painfully
boring	JJ	boring
piece	NN	piece
70	NP	@card@
's	POS	's
wine	NN	wine
cheese	NN	cheese
tripe	NN	tripe
woody	JJ	woody
allen	JJ	<unknown>
favorite	JJ	favorite
directors	NNS	director
but	CC	but
interiors	NNS	interior
far	RB	far
worst	JJS	bad
piece	NN	piece
crap	NN	crap
career	NN	career
unmistakable	JJ	unmistakable
style	NN	style
ingmar	NN	<unknown>
berman	NN	<unknown>
allen	NN	<unknown>
gives	VBZ	give
dark	JJ	dark
angular	JJ	angular
muted	JJ	muted
insight	NN	insight
lives	VBZ	live
family	NN	family
wrought	JJ	wrought
psychological	JJ	psychological
damage	NN	damage
caused	VBD	cause
divorce	NN	divorce
estrangement	NN	estrangement
career	NN	career
love	VBP	love
non	JJ	non
love	NN	love
halitosis	NN	halitosis
film	NN	film
intentionally	RB	intentionally
no	DT	no
comic	JJ	comic
relief	NN	relief
no	DT	no
music	NN	music
drenched	VBD	drench
shadowy	JJ	shadowy
pathos	NN	pathos
film	NN	film
style	NN	style
best	JJS	good
defined	VBN	define
as	IN	as
expressionist	JJ	expressionist
nature	NN	nature
using	VBG	use
improvisational	JJ	improvisational
method	NN	method
dialogue	NN	dialogue
illicit	JJ	illicit
"	``	"
more	RBR	more
pronounced	JJ	pronounced
depth	NN	depth
meaning	NN	meaning
truth	NN	truth
"	''	"
but	CC	but
woody	JJ	woody
allen	NN	<unknown>
no	DT	no
ingmar	NN	<unknown>
bergman	NN	<unknown>
film	NN	film
painfully	RB	painfully
slow	RB	slow
dull	JJ	dull
but	CC	but
simply	RB	simply
no	DT	no
connection	NN	connection
sympathy	NN	sympathy
any	DT	any
characters	NNS	character
instead	RB	instead
felt	VBD	feel
contempt	NN	contempt
parade	NN	parade
shuffling	NN	shuffling
whining	VBG	whine
nicotine	NN	nicotine
stained	VBD	stain
martyrs	NNS	martyr
perpetual	JJ	perpetual
quest	NN	quest
identity	NN	identity
amid	IN	amid
backdrop	NN	backdrop
cosmopolitan	JJ	cosmopolitan
affluence	NN	affluence
baked	VBD	bake
brie	NN	brie
intelligentsia	NN	intelligentsia
story	NN	story
looms	VBZ	loom
like	IN	like
fart	NN	fart
room	NN	room
speaks	VBZ	speak
affected	JJ	affected
platitudes	NNS	platitude
elevated	VBD	elevate
language	NN	language
cigarettes	NNS	cigarette
"	``	"
lost	VBN	lose
"	''	"
"	``	"
struggling	VBG	struggle
"	''	"
desperate	JJ	desperate
direction	NN	direction
understanding	NN	understanding
just	RB	just
goes	VBZ	go
on	IN	on
point	NN	point
just	RB	just
want	VBP	want
slap	RB	slap
all	RB	all
it	PP	it
's	VBZ	be
never	RB	never
resolution	NN	resolution
it	PP	it
's	VBZ	be
interminable	JJ	interminable
introspective	JJ	introspective
babble	NN	babble
nothing	NN	nothing
more	JJR	more
than	IN	than
psychological	JJ	psychological
drama	NN	drama
taken	VBN	take
extreme	JJ	extreme
audience	NN	audience
's	POS	's
ability	NN	ability
connect	VBP	connect
woody	JJ	woody
allen	NN	<unknown>
chose	VBD	choose
make	VB	make
characters	NNS	character
immersed	VBN	immerse
feel	VBP	feel
left	RB	left
reason	VB	reason
painfully	RB	painfully
self	JJ	self
indulgent	JJ	indulgent
spiritually	RB	spiritually
draining	NN	draining
going	VBG	go
but	CC	but
insistence	NN	insistence
promoting	VBG	promote
message	NN	message
prozac	NN	<unknown>
prose	NN	prose
distorted	JJ	distorted
film	NN	film
techniques	NNS	technique
jettisons	VBZ	jettison
past	JJ	past
point	NN	point
relevance	NN	relevance
highly	RB	highly
recommend	VBP	recommend
you	PP	you
're	VBP	be
feeling	VBG	feel
little	RB	little
too	RB	too
happy	JJ	happy
need	MD	need
remind	VB	remind
death	NN	death
let	NN	let
's	VBZ	be
just	RB	just
pretend	JJ	pretend
film	NN	film
never	RB	never
happened	VBD	happen
