when	WRB	when
matrix	NN	matrix
appeared	VBD	appear
1999	CD	@card@
questioned	VBN	question
existence	NN	existence
identity	NN	identity
expected	VBN	expect
lot	NN	lot
use	NN	use
as	IN	as
inspiration	NN	inspiration
did	VBD	do
n't	RB	n't
really	RB	really
happen	VB	happen
surprisingly	RB	surprisingly
took	VBD	take
till	IN	till
2002	CD	@card@
similar	JJ	similar
theme	NN	theme
appear	VBP	appear
but	CC	but
say	VBP	say
cypher	NN	cypher
clone	NN	clone
discredit	NN	discredit
story	NN	story
morgan	NN	<unknown>
sullivan	NN	<unknown>
applies	VBZ	apply
job	NN	job
high	JJ	high
flying	VBG	fly
techno	NN	<unknown>
company	NN	company
called	VBN	call
digicorp	NP	<unknown>
job	NN	job
spy	NN	spy
gain	NN	gain
information	NN	information
rival	JJ	rival
company	NN	company
while	IN	while
under	IN	under
assumed	VBN	assume
false	JJ	false
identity	NN	identity
home	NN	home
life	NN	life
perfectly	RB	perfectly
normal	JJ	normal
but	CC	but
lie	VB	lie
wife	NN	wife
he	PP	he
's	VBZ	be
actually	RB	actually
doing	VBG	do
however	RB	however
things	NNS	thing
start	VBP	start
conspirital	JJ	<unknown>
turns	NNS	turn
knows	VBZ	know
what	WP	what
's	VBZ	be
going	VBG	go
starts	NNS	start
question	VBP	question
actually	RB	actually
not	RB	not
helped	VBN	help
strange	JJ	strange
woman	NN	woman
turns	VBZ	turn
up	RP	up
twists	NNS	twist
turns	VBZ	turn
direction	NN	direction
absolutely	RB	absolutely
fascinated	VBD	fascinate
no	DT	no
point	NN	point
does	VBZ	do
contrived	JJ	contrived
unbelievable	JJ	unbelievable
it	PP	it
's	VBZ	be
enthralling	VBG	enthrall
journey	NN	journey
not	RB	not
too	RB	too
distant	JJ	distant
future	JJ	future
good	NN	good
acting	VBG	act
all	DT	all
round	NN	round
edge	NN	edge
seat	NN	seat
highly	RB	highly
recommended	VBD	recommend
