i	NP	i
like	IN	like
recent	JJ	recent
personal	JJ	personal
experience	NN	experience
especially	RB	especially
ideas	NNS	idea
free	JJ	free
finite	JJ	finite
characters	NNS	character
firm	NN	firm
did	VBD	do
not	RB	not
really	RB	really
enjoy	VB	enjoy
"	``	"
real	JJ	real
"	''	"
lives	NNS	life
but	CC	but
did	VBD	do
enjoy	VB	enjoy
e	NN	e
did	VBD	do
good	JJ	good
job	NN	job
making	VBG	make
simple	JJ	simple
day	NN	day
good	JJ	good
memory	NN	memory
good	JJ	good
memory	NN	memory
includes	VBZ	include
not	RB	not
romantic	JJ	romantic
feelings	NNS	feeling
beautiful	JJ	beautiful
stranger	NN	stranger
beautiful	JJ	beautiful
european	JJ	European
city	NN	city
but	CC	but
definitely	RB	definitely
deeper	JJR	deep
discussion	NN	discussion
values	NNS	value
life	NN	life
many	JJ	many
like	IN	like
terms	NNS	term
discussion	NN	discussion
definitions	NNS	definition
life	NN	life
love	NN	love
relationships	NNS	relationship
current	JJ	current
problems	NNS	problem
life	NN	life
sort	NN	sort
sunrise	NN	sunrise
dealt	VBD	deal
nice	JJ	nice
way	NN	way
makes	VBZ	make
viewer	NN	viewer
pause	NN	pause
think	VBP	think
adjust	VB	adjust
breath	NN	breath
watching	VBG	watch
film	NN	film
sunrise	NN	sunrise
did	VBD	do
not	RB	not
try	VB	try
instill	VB	instill
specific	JJ	specific
thought	NN	thought
head	NN	head
just	RB	just
encouraged	VBD	encourage
think	VB	think
issues	NNS	issue
daily	JJ	daily
life	NN	life
gave	VBD	give
alternative	JJ	alternative
possibilities	NNS	possibility
conversations	NNS	conversation
characters	NNS	character
interesting	JJ	interesting
not	RB	not
just	RB	just
typical	JJ	typical
whining	VBG	whine
complaints	NNS	complaint
flowing	VBG	flow
dumb	JJ	dumb
ideas	NNS	idea
still	RB	still
thinking	VBG	think
issues	NNS	issue
curious	JJ	curious
line	NN	line
story	NN	story
end	NN	end
not	RB	not
quite	RB	quite
important	JJ	important
all	DT	all
got	VBN	get
feel	VBP	feel
good	JJ	good
positive	JJ	positive
supposed	VBN	suppose
enjoyable	JJ	enjoyable
enjoyable	JJ	enjoyable
worth	JJ	worth
time	NN	time
watch	NN	watch
journey	NN	journey
too	RB	too
represented	VBD	represent
answered	VBN	answer
questions	NNS	question
