what	WP	what
more	JJR	more
say	NN	say
acting	VBG	act
almost	RB	almost
exception	NN	exception
amateurish	JJ	amateurish
directing	VBG	direct
continuity	NN	continuity
pitiful	JJ	pitiful
sceenplay	NN	<unknown>
predictable	JJ	predictable
very	JJ	very
scene	NN	scene
dialog	NN	dialog
tedious	JJ	tedious
features	NNS	feature
dvd	NN	<unknown>
labeled	VBN	label
"	``	"
gag	NN	gag
reel	NN	reel
"	''	"
but	CC	but
description	NN	description
viewer	NN	viewer
's	VBZ	be
reaction	NN	reaction
most	RBS	most
the	DT	the
most	RBS	most
amusing	JJ	amusing
things	NNS	thing
director	NN	director
's	POS	's
comments	NNS	comment
dvd	NN	<unknown>
said	VBD	say
straight	RB	straight
face	VB	face
set	VBN	set
make	VBP	make
high	JJ	high
production	NN	production
values	NNS	value
cast	VBD	cast
succeeded	VBN	succeed
delusions	NNS	delusion
like	IN	like
it	PP	it
's	VBZ	be
easy	JJ	easy
understand	VB	understand
turned	VBN	turn
as	IN	as
did	VBD	do
most	RBS	most
disappointing	JJ	disappointing
aspect	NN	aspect
monster	NN	monster
darkwolf	NN	<unknown>
suit	NN	suit
modified	JJ	modified
ape	NN	ape
suit	NN	suit
'	''	'
making	VBG	make
of	IN	of
'	''	'
feature	NN	feature
dvd	NNS	<unknown>
looked	VBD	look
mask	NN	mask
claws	NNS	claw
little	RB	little
better	RBR	well
than	IN	than
shelf	NN	shelf
jobs	NNS	job
any	DT	any
costume	JJ	costume
store	NN	store
cgi	NN	<unknown>
effects	NNS	effect
painfully	RB	painfully
obvious	JJ	obvious
quality	NN	quality
similar	JJ	similar
inexpensive	JJ	inexpensive
video	NN	video
game	NN	game
