the	DT	the
reason	NN	reason
dvrd	NN	<unknown>
1	CD	1
live	VBP	live
cleveland	JJ	<unknown>
shaq	JJ	<unknown>
plays	NNS	play
basketball	NN	basketball
2	CD	2
i	NNS	i
've	VBP	have
always	RB	always
heard	VBD	hear
awful	JJ	awful
did	VBD	do
not	RB	not
disappoint	VB	disappoint
best	RBS	well
parts	NNS	part
shaq	NP	<unknown>
's	POS	's
outfits	VBZ	outfit
worst	JJS	bad
parts	NNS	part
well	RB	well
just	RB	just
12	CD	@card@
year	NN	year
old	JJ	old
son	NN	son
just	RB	just
squirmed	VBD	squirm
could	MD	could
n't	RB	n't
look	VB	look
screen	NN	screen
shaq	NNS	<unknown>
started	VBD	start
rapping	VBG	rap
kept	VBD	keep
wondering	VBG	wonder
max	NN	<unknown>
did	VBD	do
n't	RB	n't
wish	VB	wish
kazzam	NN	<unknown>
fix	NN	fix
tooth	NN	tooth
but	CC	but
all	RB	all
it	PP	it
's	VBZ	be
terribleness	NN	terribleness
just	RB	just
could	MD	could
n't	RB	n't
stop	VB	stop
watching	VBG	watch
story	NN	story
sucked	VBN	suck
like	IN	like
black	JJ	black
hole	NN	hole
quicksand	NN	quicksand
tar	NN	tar
pit	NN	pit
hypnotic	JJ	hypnotic
but	CC	but
worth	JJ	worth
laughs	NNS	laugh
just	RB	just
say	VBP	say
actually	RB	actually
watched	VBN	watch
"	``	"
kazzam	NN	<unknown>
"	''	"
