this	DT	this
very	RB	very
cheaply	RB	cheaply
werewolf	NN	werewolf
flick	NN	flick
video	NN	video
dark	NN	dark
poorly	RB	poorly
lit	VBD	light
audio	JJ	audio
uneven	JJ	uneven
poorly	RB	poorly
recorded	VBN	record
mixed	JJ	mixed
script	NN	script
cliche	NN	cliche
ridden	JJ	ridden
junk	NN	junk
usual	JJ	usual
characters	NNS	character
like	IN	like
tough	JJ	tough
detective	NN	detective
shoots	VBZ	shoot
werewolves	NNS	werewolf
silver	NN	silver
handgun	NN	handgun
filled	VBN	fill
course	NN	course
silver	NN	silver
bullets	NNS	bullet
acting	VBG	act
as	RB	as
wooden	JJ	wooden
as	IN	as
characters	NNS	character
fx	NN	<unknown>
non	JJ	non
existent	JJ	existent
lots	NNS	lot
extreme	JJ	extreme
close	NN	close
ups	NNS	up
werewolf	NN	werewolf
jaws	VBZ	jaw
biting	JJ	biting
thing	NN	thing
shown	VBN	show
lots	NNS	lot
soft	JJ	soft
core	NN	core
t	NN	t
instead	RB	instead
dropping	VBG	drop
$30	JJ	<unknown>
tripe	NN	tripe
check	NN	check
really	RB	really
great	JJ	great
recent	JJ	recent
werewolf	NN	werewolf
pic	JJ	<unknown>
"	''	"
dog	NN	dog
soldiers	NNS	soldier
"	``	"
sean	JJ	<unknown>
pertwee	NN	<unknown>
