i	NP	i
saw	VBD	see
film	NN	film
pre	NN	<unknown>
release	NN	release
screening	NN	screening
writers	NNS	writer
guild	NN	guild
theater	NN	theater
beverly	JJ	<unknown>
hills	NNS	hill
as	IN	as
recall	NN	recall
film	NN	film
's	POS	's
producers	NNS	producer
director	NN	director
attendance	NN	attendance
presumably	RB	presumably
gage	JJ	gage
reaction	NN	reaction
many	JJ	many
scenes	NNS	scene
evoked	VBD	evoke
gales	NNS	gale
laughter	NN	laughter
audience	NN	audience
fine	NN	fine
comedy	NN	comedy
but	CC	but
supposed	VBN	suppose
horror	NN	horror
film	NN	film
audience	NN	audience
was	VBD	be
n't	RB	n't
scared	VBN	scare
filmmakers	NNS	filmmaker
delayed	VBD	delay
release	NN	release
year	NN	year
curiosity	NN	curiosity
saw	VBD	see
again	RB	again
they	PP	they
'd	MD	will
cut	VB	cut
as	RB	as
far	RB	far
as	IN	as
tell	NN	tell
had	VBD	have
n't	RB	n't
lousy	JJ	lousy
just	RB	just
year	NN	year
older	JJR	old
almost	RB	almost
qualifies	VBZ	qualify
as	IN	as
"	``	"
so	RB	so
bad	JJ	bad
it	PP	it
's	VBZ	be
good	JJ	good
"	''	"
but	CC	but
it	PP	it
's	VBZ	be
slow	RB	slow
paced	VBN	pace
boring	JJ	boring
