i	NP	i
too	RB	too
gone	VBN	go
very	RB	very
painful	JJ	painful
personal	JJ	personal
loss	NN	loss
twice	RB	twice
portrays	VBZ	portray
gut	JJ	gut
wrenching	JJ	wrenching
reality	NN	reality
experience	NN	experience
very	RB	very
well	RB	well
life	NN	life
balance	NN	balance
nothing	NN	nothing
makes	VBZ	make
sense	NN	sense
well	RB	well
meaning	VBG	mean
relatives	NNS	relative
nice	JJ	nice
ally	NN	ally
again	RB	again
all	DT	all
time	NN	time
favorite	NN	favorite
actors	NNS	actor
laughed	VBD	laugh
cried	VBN	cry
as	IN	as
story	NN	story
unfolded	VBD	unfold
great	JJ	great
story	NN	story
cast	VBD	cast
well	RB	well
