how	WRB	how
irish	JJ	Irish
critics	NNS	critic
rave	NN	rave
overacted	VBD	overact
usual	JJ	usual
band	NN	band
irish	NN	Irish
actors	NNS	actor
dragged	VBD	drag
irish	JJ	Irish
terrible	JJ	terrible
script	NN	script
forced	VBD	force
character	NN	character
quirks	NNS	quirk
brown	JJ	brown
sauce	NN	sauce
romanticising	VBG	romanticise
all	DT	all
bad	JJ	bad
dublin	NN	<unknown>
attitude	NN	attitude
'	POS	'
ah	NN	<unknown>
it	PP	it
's	VBZ	be
dump	NN	dump
but	CC	but
sure	JJ	sure
isnt	NN	<unknown>
great	RB	great
all	RB	all
same	JJ	same
'	''	'
plenty	NN	plenty
tidbits	NNS	tidbit
purely	RB	purely
american	JJ	American
audiences	NNS	audience
supermarket	NN	supermarket
boss	NN	boss
horribly	RB	horribly
forced	VBN	force
catchphrase	NN	<unknown>
nail	NN	nail
coffin	NN	coffin
colm	NP	Colm
meaney	NP	Meaney
's	POS	's
character	NN	character
great	JJ	great
actor	NN	actor
forced	VBN	force
play	NN	play
could	MD	could
've	VBP	have
written	VBN	write
year	NN	year
old	JJ	old
cringeworthy	JJ	<unknown>
stuff	NN	stuff
best	JJS	good
thing	NN	thing
farrell	NN	<unknown>
it	PP	it
's	VBZ	be
bad	JJ	bad
say	VB	say
well	RB	well
least	JJS	least
wasnt	NN	<unknown>
putting	VBG	put
dreadful	JJ	dreadful
american	NN	American
accent	NN	accent
international	JJ	international
audiences	NNS	audience
warned	VBN	warn
stay	VBP	stay
home	RB	home
watch	VB	watch
snatch	VB	snatch
lock	JJ	lock
stock	NN	stock
you	PP	you
'll	MD	will
better	VB	better
time	NN	time
intermission	NN	intermission
walk	VBP	walk
outer	JJ	outer
