you	PP	you
talking	VBG	talk
'	''	'
1987	CD	@card@
pretty	RB	pretty
bad	JJ	bad
starring	VBG	star
dude	NN	dude
never	RB	never
seen	VBN	see
starring	VBG	star
as	IN	as
guy	NN	guy
neighborhood	NN	neighborhood
tries	VBZ	try
actor	NN	actor
heavy	JJ	heavy
jones	NNS	<unknown>
taxi	NN	taxi
driver	NN	driver
as	RB	as
tries	VBZ	try
use	VB	use
shtick	NP	shtick
make	VB	make
big	JJ	big
learns	VBZ	learn
hard	JJ	hard
facts	NNS	fact
life	NN	life
does	VBZ	do
does	VBZ	do
changes	NNS	change
image	NN	image
goes	VBZ	go
good	JJ	good
fella	NN	fella
surf	NN	surf
's	VBZ	be
up	RB	up
dude	NN	dude
night	NN	night
friend	NN	friend
ca	MD	ca
n't	RB	n't
believe	VB	believe
change	NN	change
but	CC	but
scores	NNS	score
faith	NN	faith
ford	NN	ford
get	VBP	get
's	POS	's
cool	JJ	cool
paying	VBG	pay
gig	NN	gig
young	JJ	young
punk	NN	punk
street	NN	street
cred	VBN	<unknown>
whilst	IN	whilst
making	VBG	make
big	JJ	big
real	JJ	real
lame	NN	lame
tries	VBZ	try
too	RB	too
hard	RB	hard
incorporate	VB	incorporate
too	RB	too
many	JJ	many
things	NNS	thing
interesting	JJ	interesting
idea	NN	idea
falls	VBZ	fall
apart	RB	apart
poor	JJ	poor
execution	NN	execution
knows	VBZ	know
maybe	RB	maybe
somebody	NN	somebody
pick	VB	pick
up	RP	up
ball	NN	ball
run	NN	run
film	NN	film
makers	NNS	maker
fumbled	VBD	fumble
ball	NN	ball
time	NN	time
do	VBP	do
n't	RB	n't
waste	VB	waste
time	NN	time
unless	IN	unless
want	VB	want
hot	JJ	hot
faith	NN	faith
ford	NN	ford
young	JJ	young
bubba	NN	<unknown>
forest	NN	forest
gump	NN	<unknown>
xx	NN	<unknown>
