its	PP$	its
great	JJ	great
loved	VBN	love
ha	NP	ha
cause	NN	cause
love	VBP	love
dinosaurs	NNS	dinosaur
r	SYM	r
greatest	JJ	greatest
animals	NNS	animal
but	CC	but
loved	VBD	love
cause	NN	cause
was	VBD	be
n't	RB	n't
copied	VBN	copy
originals	NNS	original
ha	NP	ha
good	JJ	good
storyline	NN	storyline
great	JJ	great
little	JJ	little
kids	NNS	kid
like	IN	like
dinosaurs	NNS	dinosaur
few	JJ	few
downs	NNS	down
too	RB	too
not	RB	not
all	DT	all
great	JJ	great
cause	NN	cause
dinosaurs	NNS	dinosaur
look	VBP	look
little	RB	little
mutated	VBN	mutate
but	CC	but
7	CD	7
but	CC	but
right	RB	right
little	JJ	little
late	JJ	late
yay	NN	<unknown>
4	CD	4
more	JJR	more
lines	NNS	line
great	JJ	great
fantasy	NN	fantasy
though	IN	though
warning	VBG	warn
spoil	NN	spoil
u	NN	u
u	NN	u
do	VBP	do
n't	RB	n't
want	VB	want
spoiled	VBN	spoil
do	VBP	do
n't	RB	n't
read	VB	read
plz	NN	<unknown>
near	IN	near
end	NN	end
kinda	RB	kinda
weird	JJ	weird
cause	NN	cause
all	DT	all
need	NN	need
dang	RB	dang
forgot	VBN	forget
nvm	NN	<unknown>
guess	VBP	guess
not	RB	not
spoiler	NN	spoiler
never	RB	never
mind	VB	mind
loved	VBN	love
opinion	NN	opinion
sorry	RB	sorry
any	DT	any
missed	VBN	miss
spelled	VBN	spell
words	NNS	word
any	DT	any
