it	PP	it
's	VBZ	be
funny	JJ	funny
i	NP	i
've	VBP	have
seen	VBN	see
bunch	NN	bunch
fassbinder	NN	<unknown>
films	NNS	film
extremely	RB	extremely
creative	JJ	creative
interesting	JJ	interesting
while	IN	while
repellent	JJ	repellent
self	JJ	self
indulgent	JJ	indulgent
messes	NNS	mess
like	IN	like
film	NN	film
ranges	NNS	range
great	JJ	great
crap	NN	crap
much	JJ	much
middle	NN	middle
know	VBP	know
lot	NN	lot
fans	NNS	fan
"	``	"
sophisticated	JJ	sophisticated
"	''	"
but	CC	but
ca	MD	ca
n't	RB	n't
help	VB	help
but	CC	but
think	VBP	think
lot	RB	lot
appeal	VB	appeal
pure	JJ	pure
hype	NN	hype
point	NN	point
view	NN	view
know	VBP	know
lot	NN	lot
negative	JJ	negative
ratings	NNS	rating
too	RB	too
many	JJ	many
too	RB	too
quickly	RB	quickly
too	RB	too
self	JJ	self
indulgent	JJ	indulgent
gay	JJ	gay
gender	NN	gender
bending	VBG	bend
films	NNS	film
like	IN	like
tend	VBP	tend
really	RB	really
bad	JJ	bad
sloppily	RB	sloppily
quite	RB	quite
boring	JJ	boring
as	IN	as
querelle	NP	<unknown>
bitter	JJ	bitter
tears	NNS	tear
petra	NN	<unknown>
von	NP	von
kant	NN	<unknown>
just	RB	just
gross	JJ	gross
like	IN	like
film	NN	film
could	MD	could
n't	RB	n't
message	NN	message
acceptance	NN	acceptance
person	NN	person
's	POS	's
gender	NN	gender
confusion	NN	confusion
handled	VBD	handle
better	RBR	well
than	IN	than
showing	VBG	show
slapped	VBN	slap
watching	NN	watching
cows	NNS	cow
gruesomely	RB	gruesomely
slaughtered	VBN	slaughter
sensitivity	NN	sensitivity
subject	JJ	subject
matter	NN	matter
make	VB	make
characters	NNS	character
more	RBR	more
human	JJ	human
sympathetic	JJ	sympathetic
maybe	RB	maybe
i	NP	i
'd	MD	will
care	VB	care
films	NNS	film
i	NNS	i
'm	VBP	be
honestly	RB	honestly
point	NN	point
watching	VBG	watch
film	NN	film
not	RB	not
bother	VB	bother
any	DT	any
more	JJR	more
fassbinder	NN	<unknown>
films	NNS	film
bad	RB	bad
weighing	VBG	weigh
good	JJ	good
