how	WRB	how
many	DT	many
more	RBR	more
fake	JJ	fake
"	''	"
slice	NN	slice
life	NN	life
"	``	"
need	VBP	need
hopefully	RB	hopefully
not	RB	not
too	RB	too
many	JJ	many
raising	VBG	raise
victor	NN	victor
vargas	NNS	<unknown>
very	RB	very
self	JJ	self
conscious	JJ	conscious
attempt	NN	attempt
director	NN	director
peter	NN	peter
solett	NN	<unknown>
garnering	VBG	garner
attention	NN	attention
hollywood	NN	<unknown>
nothing	NN	nothing
wrong	JJ	wrong
general	JJ	general
wrong	JJ	wrong
film	NN	film
particular	RB	particular
ignores	VBZ	ignore
audience	NN	audience
piles	NNS	pile
clich	NN	<unknown>
book	NN	book
supposedly	RB	supposedly
"	``	"
edgy	JJ	edgy
"	''	"
hollywood	NN	<unknown>
independent	JJ	independent
production	NN	production
it	PP	it
's	VBZ	be
supposed	VBN	suppose
"	``	"
real	JJ	real
"	''	"
left	JJ	left
shake	NN	shake
camera	NN	camera
"	``	"
documentary	JJ	documentary
style	NN	style
"	''	"
except	IN	except
no	DT	no
documentarian	JJ	<unknown>
shake	NN	shake
camera	NN	camera
purpose	NN	purpose
it	PP	it
's	VBZ	be
"	``	"
edgy	JJ	edgy
"	''	"
let	NN	let
's	VBZ	be
not	RB	not
waste	VB	waste
any	DT	any
time	NN	time
lighting	NN	lighting
film	NN	film
it	PP	it
's	VBZ	be
"	``	"
hip	JJ	hip
"	''	"
let	NN	let
's	POS	's
children	NNS	child
use	VBP	use
swear	VB	swear
words	NNS	word
like	IN	like
al	NP	al
pacino	NP	Pacino
scarface	NNS	<unknown>
so	RB	so
forth	RB	forth
all	RB	all
left	VBN	leave
very	RB	very
self	JJ	self
conscious	JJ	conscious
attempt	NN	attempt
impressing	VBG	impress
hollywood	NN	<unknown>
wo	MD	wo
n't	RB	n't
impress	VB	impress
outside	IN	outside
"	``	"
rarefied	JJ	rarefied
"	''	"
indie	NN	<unknown>
crowd	VBP	crowd
still	RB	still
heap	VB	heap
acclaim	NN	acclaim
bad	JJ	bad
film	NN	film
