i	NP	i
'll	MD	will
short	VB	short
thanks	NNS	thank
greg	NN	<unknown>
helping	VBG	help
succinctly	RB	succinctly
captivity	NN	captivity
guy	NN	guy
drugs	NNS	drug
girl	NN	girl
's	POS	's
drink	NN	drink
imprisons	VBZ	imprison
tortures	NNS	torture
poses	NNS	pose
as	IN	as
captive	JJ	captive
sex	NN	sex
single	JJ	single
twist	NN	twist
punchline	NN	punchline
film	NN	film
it	PP	it
's	VBZ	be
torture	NN	torture
as	IN	as
slow	JJ	slow
motion	NN	motion
date	NN	date
rape	NN	rape
it	PP	it
's	VBZ	be
not	RB	not
good	JJ	good
it	PP	it
's	VBZ	be
not	RB	not
bad	JJ	bad
it	PP	it
's	VBZ	be
good	JJ	good
it	PP	it
's	VBZ	be
just	RB	just
bad	JJ	bad
mentioned	VBN	mention
critics	NNS	critic
"	''	"
spoiler	NN	spoiler
code	NN	code
"	``	"
dare	VBP	dare
not	RB	not
break	VB	break
though	IN	though
tempted	VBN	tempt
vile	JJ	vile
no	DT	no
cojones	NNS	<unknown>
step	VBP	step
up	RB	up
say	VB	say
"	''	"
this	DT	this
garbage	NN	garbage
"	``	"
do	VBP	do
n't	RB	n't
money	NN	money
poop	NN	poop
peddlers	NNS	peddler
