this	DT	this
man	NN	man
nothing	NN	nothing
short	RB	short
amazing	JJ	amazing
truly	RB	truly
feel	VBP	feel
as	IN	as
lived	VBN	live
life	NN	life
tragic	JJ	tragic
events	NNS	event
family	NN	family
end	NN	end
passionate	JJ	passionate
cause	NN	cause
not	RB	not
just	RB	just
himself	PP	himself
but	CC	but
ensure	VB	ensure
survive	VB	survive
not	RB	not
wretched	JJ	wretched
pain	NN	pain
watch	NN	watch
video	NN	video
time	NN	time
having	VBG	have
bad	JJ	bad
"	``	"
down	JJ	down
"	''	"
day	NN	day
always	RB	always
manages	VBZ	manage
make	VB	make
great	JJ	great
brighter	JJR	bright
life	NN	life
just	RB	just
like	IN	like
jonny	NN	<unknown>
did	VBD	do
unbearable	JJ	unbearable
pain	NN	pain
regret	NN	regret
not	RB	not
knowing	VBG	know
jonny	NN	<unknown>
sooner	RBR	sooner
as	IN	as
visited	VBN	visit
england	NN	<unknown>
2	CD	2
times	NNS	time
life	NN	life
able	JJ	able
say	VBP	say
i	NP	i
'd	VBD	have
met	VBN	meet
comforting	JJ	comforting
know	VBP	know
jonny	NN	<unknown>
sitting	VBG	sit
cloud	NN	cloud
pain	NN	pain
free	JJ	free
rest	NN	rest
peace	NN	peace
dear	JJ	dear
jonny	NN	<unknown>
deserve	VBP	deserve
