i	NP	i
saw	VBD	see
film	NN	film
night	NN	night
cable	NN	cable
extraordinary	JJ	extraordinary
love	NN	love
most	RBS	most
understated	VBN	understate
low	JJ	low
key	NN	key
but	CC	but
deeply	RB	deeply
heartfelt	JJ	heartfelt
henry	NN	henry
thomas	NNS	<unknown>
'	POS	'
played	VBN	play
child	NN	child
e	NN	e
t	NN	t
performance	NN	performance
masterfully	RB	masterfully
inarticulate	JJ	inarticulate
supposed	VBN	suppose
man	NN	man
few	JJ	few
words	NNS	word
david	NN	<unknown>
straithern	NN	<unknown>
wonderful	JJ	wonderful
crazy	JJ	crazy
villain	NN	villain
miraculously	RB	miraculously
given	VBN	give
we	PP	we
're	VBP	be
talking	VBG	talk
hollywood	NN	<unknown>
product	NN	product
baby	NN	baby
serves	VBZ	serve
as	IN	as
main	JJ	main
character	NN	character
but	CC	but
does	VBZ	do
n't	RB	n't
act	VB	act
lines	NNS	line
but	CC	but
just	RB	just
is	VBZ	be
luminous	JJ	luminous
interesting	JJ	interesting
note	NN	note
thomas	NNS	<unknown>
'	POS	'
mysterious	JJ	mysterious
relationship	NN	relationship
w	NN	w
e	NN	e
t	NN	t
core	NN	core
film	NN	film
while	IN	while
bond	NN	bond
w	NN	w
baby	NN	baby
serves	VBZ	serve
as	IN	as
core	NN	core
"	``	"
a	DT	a
good	JJ	good
baby	NN	baby
"	''	"
then	RB	then
music	NN	music
ah	NN	<unknown>
music	NN	music
gillian	NN	<unknown>
welch	VBP	welch
's	POS	's
tunes	NNS	tune
wonderful	JJ	wonderful
entire	JJ	entire
score	NN	score
gorgeous	JJ	gorgeous
hill	NN	hill
country	NN	country
music	NN	music
film	NN	film
wonderfully	RB	wonderfully
atmospheric	JJ	atmospheric
recommend	VBP	recommend
highly	RB	highly
