i	NP	i
spent	VBD	spend
almost	RB	almost
hours	NNS	hour
watching	NN	watching
thought	VBD	think
all	DT	all
good	JJ	good
actors	NNS	actor
worth	JJ	worth
watching	NN	watching
could	MD	could
n't	RB	n't
believe	VB	believe
ended	VBN	end
absolutely	RB	absolutely
no	DT	no
idea	NN	idea
happened	VBD	happen
mad	JJ	mad
used	VBN	use
time	NN	time
doing	VBG	do
tried	VBN	try
figure	NN	figure
all	RB	all
but	CC	but
really	RB	really
no	DT	no
clue	NN	clue
thanks	NNS	thank
figured	VBD	figure
explained	VBN	explain
right	RB	right
wrong	JJ	wrong
it	PP	it
's	VBZ	be
better	JJR	good
than	IN	than
not	RB	not
knowing	VBG	know
lady	NN	lady
dark	JJ	dark
hair	NN	hair
saw	VBD	see
couple	NN	couple
times	NNS	time
driving	NN	driving
away	RB	away
did	VBD	do
lady	NN	lady
know	VB	know
husband	NN	husband
cheating	NN	cheating
end	NN	end
kate	NNS	<unknown>
said	VBD	say
eventually	RB	eventually
truth	NN	truth
does	VBZ	do
mean	VB	mean
we	PP	we
're	VBP	be
going	VBG	go
subjected	VBN	subject
end	NN	end
game	NN	game
2	CD	2
