this	DT	this
game	NN	game
amazing	VBG	amaze
really	RB	really
you	PP	you
do	VBP	do
n't	RB	n't
although	IN	although
ancient	JJ	ancient
amazing	JJ	amazing
came	VBD	come
believe	VB	believe
game	NN	game
always	RB	always
classic	JJ	classic
it	PP	it
's	VBZ	be
just	RB	just
as	IN	as
good	JJ	good
super	JJ	super
mario	NN	<unknown>
world	NN	world
young	JJ	young
friend	NN	friend
sit	VBP	sit
play	VB	play
game	NN	game
hours	NNS	hour
trying	VBG	try
beat	NN	beat
eventually	RB	eventually
did	VBD	do
it	PP	it
's	VBZ	be
not	RB	not
nearly	RB	nearly
as	RB	as
advanced	JJ	advanced
as	IN	as
super	JJ	super
mario	NN	<unknown>
galaxy	NN	galaxy
but	CC	but
fellow	JJ	fellow
mario	NN	<unknown>
fan	VB	fan
essential	JJ	essential
it	PP	it
's	VBZ	be
fun	NN	fun
entertaining	JJ	entertaining
challenging	VBG	challenge
want	NN	want
fantasy	NN	fantasy
game	NN	game
except	IN	except
good	JJ	good
graphics	NNS	graphics
well	RB	well
did	VBD	do
come	VB	come
1996	CD	@card@
rock	NN	rock
4eva	NP	<unknown>
mario	NP	Mario
luigi	NP	Luigi
yoshi	NP	Yoshi
nintendo	NN	<unknown>
best	RBS	well
