oh	UH	oh
dear	JJ	dear
god	NN	god
horrible	JJ	horrible
bad	JJ	bad
this	NN	this
makes	VBZ	make
no	DT	no
sense	NN	sense
all	RB	all
runs	VBZ	run
all	DT	all
map	NN	map
is	VBZ	be
n't	RB	n't
clear	JJ	clear
saying	VBG	say
all	DT	all
music	NN	music
like	IN	like
trying	VBG	try
like	IN	like
batman	NN	batman
fact	NN	fact
'	POS	'
edison	NN	Edison
'	''	'
is	VBZ	be
n't	RB	n't
real	JJ	real
city	NN	city
takes	VBZ	take
away	RB	away
live	VB	live
vancouver	NN	<unknown>
watching	NN	watching
recognizing	VBG	recognize
all	DT	all
places	NNS	place
unbearable	JJ	unbearable
did	VBD	do
n't	RB	n't
make	VB	make
real	JJ	real
city	NN	city
writing	VBG	write
decent	JJ	decent
was'tilman	NN	<unknown>
'	POS	'
john	NN	john
heard	VBD	hear
did	VBD	do
fantastic	JJ	fantastic
job	NN	job
actor	NN	actor
played	VBD	play
role	NN	role
realistically	RB	realistically
not	RB	not
top	JJ	top
campy	NN	campy
actually	RB	actually
shame	NN	shame
john	NN	john
heard	VBD	hear
play	VB	play
great	JJ	great
bad	JJ	bad
guy	NN	guy
lot	NN	lot
screen	NN	screen
time	NN	time
washout	NNS	washout
too	RB	too
bad	JJ	bad
hopefully	RB	hopefully
important	JJ	important
least	JJS	least
john	NN	john
heard	VBD	hear
credit	NN	credit
credit	NN	credit
hire	VBP	hire
as	RB	as
lead	VB	lead
bad	JJ	bad
guy	NN	guy
again	RB	again
list	NN	list
