i	NP	i
watched	VBD	watch
30	CD	@card@
minutes	NNS	minute
saw	VBD	see
total	JJ	total
piece	NN	piece
crap	NN	crap
scenes	NNS	scene
saw	VBD	see
as	RB	as
bad	JJ	bad
as	IN	as
ed	NN	editor
wood	NN	wood
no	DT	no
times	NNS	time
worse	JJR	bad
ed	NN	editor
wood	NN	wood
reputation	NN	reputation
worst	JJS	bad
director	NN	director
but	CC	but
that	DT	that
's	VBZ	be
not	RB	not
true	JJ	true
idiot	NN	idiot
directed	JJ	directed
junk	NN	junk
worst	JJS	bad
director	NN	director
american	NN	American
cop	NN	cop
german	JJ	german
accent	NN	accent
"	''	"
police	NN	police
station	NN	station
"	''	"
desk	NN	desk
warehouse	NN	warehouse
sign	NN	sign
"	''	"
police	NN	police
station	NN	station
"	''	"
hanging	VBG	hang
wall	NN	wall
fist	NN	fist
fight	NN	fight
punches	VBZ	punch
clearly	RB	clearly
miss	VB	miss
feet	NNS	foot
cop	NN	cop
pulls	VBZ	pull
women	NNS	woman
cuffs	NNS	cuff
leads	VBZ	lead
warehouse	NN	warehouse
tells	VBZ	tell
cop	NN	cop
partner	NN	partner
wait	NN	wait
car	NN	car
comes	VBZ	come
warehouse	NN	warehouse
carrying	NN	carrying
duffel	NN	duffel
bag	NN	bag
cop	NN	cop
partner	NN	partner
thinks	VBZ	think
maybe	RB	maybe
not	RB	not
right	JJ	right
partner	NN	partner
bad	JJ	bad
cop	NN	cop
murdering	VBG	murder
women	NNS	woman
but	CC	but
is	VBZ	be
n't	RB	n't
sure	JJ	sure
what	WP	what
's	VBZ	be
happening	VBG	happen
he	PP	he
's	POS	's
moron	NN	moron
dialog	NN	dialog
totally	RB	totally
stupid	JJ	stupid
acting	VBG	act
awful	JJ	awful
characters	NNS	character
act	VBP	act
stupidest	JJS	stupid
manner	NN	manner
seen	VBN	see
screen	NN	screen
totally	RB	totally
obvious	JJ	obvious
cop	NN	cop
's	POS	's
partner	NN	partner
illegally	RB	illegally
abducting	VBG	abduct
women	NNS	woman
slapping	VBG	slap
taking	VBG	take
warehouse	NN	warehouse
returning	VBG	return
car	NN	car
duffel	NN	duffel
bag	NN	bag
body	NN	body
yet	CC	yet
partner	NN	partner
all	RB	all
does	VBZ	do
n't	RB	n't
know	VB	know
happening	VBG	happen
director	NN	director
film	NN	film
total	JJ	total
hack	NN	hack
stopped	VBD	stop
30	CD	@card@
minutes	NNS	minute
could	MD	could
n't	RB	n't
anymore	RB	anymore
worst	JJS	bad
started	VBN	start
watch	NN	watch
wo	MD	wo
n't	RB	n't
waste	VB	waste
anymore	RB	anymore
time	NN	time
writing	VBG	write
review	NN	review
absolutely	RB	absolutely
worthless	JJ	worthless
