this	DT	this
is	VBZ	be
n't	RB	n't
collection	NN	collection
unrelated	JJ	unrelated
ill	NN	ill
conceived	VBD	conceive
poorly	RB	poorly
assembled	VBN	assemble
scenes	NNS	scene
look	VBP	look
like	IN	like
unedited	JJ	unedited
results	NNS	result
dim	JJ	dim
10	CD	@card@
year	NN	year
old	JJ	old
mini	JJ	mini
dv	NN	<unknown>
camera	NN	camera
fact	NN	fact
theory	NN	theory
extremely	RB	extremely
abrasive	JJ	abrasive
girl	NN	girl
train	NN	train
corridor	NN	corridor
greasy	JJ	greasy
hair	NN	hair
dead	JJ	dead
pan	NN	pan
stare	NN	stare
ipod	NN	<unknown>
nervous	JJ	nervous
tic	NN	tic
probably	RB	probably
shot	VBD	shoot
herself	PP	herself
creative	JJ	creative
phase	NN	phase
further	RBR	further
than	IN	than
minutes	NNS	minute
did	VBD	do
do	VB	do
n't	RB	n't
bother	VB	bother
trying	VBG	try
fit	NN	fit
saw	VBD	see
context	NN	context
european	JJ	European
artiste	NN	artiste
mentality	NN	mentality
praised	VBD	praise
true	JJ	true
complete	JJ	complete
waste	NN	waste
time	NN	time
money	NN	money
film	NN	film
william	NP	William
shot	VBD	shoot
beaudine	RB	<unknown>
cringe	VB	cringe
unfortunate	JJ	unfortunate
endless	JJ	endless
series	NN	series
vacuum	NN	vacuum
packed	VBD	pack
characters	NNS	character
representative	NN	representative
passes	VBZ	pass
much	JJ	much
humanity	NN	humanity
what	WP	what
's	VBZ	have
directors	NNS	director
shooting	VBG	shoot
social	JJ	social
intercourse	NN	intercourse
wal	JJ	<unknown>
mart	NN	mart
snack	NN	snack
counter	NN	counter
