a	DT	a
light	NN	light
hearted	VBD	heart
comedy	NN	comedy
nothing	NN	nothing
shows	VBZ	show
world	NN	world
wish	NN	wish
escape	NN	escape
world	NN	world
nothing	NN	nothing
do	VBP	do
n't	RB	n't
like	VB	like
stack	NN	stack
bills	NNS	bill
bad	JJ	bad
memory	NN	memory
hunger	NN	hunger
disappear	VBP	disappear
wish	NN	wish
approached	VBD	approach
very	RB	very
well	RB	well
enjoyable	JJ	enjoyable
starring	VBG	star
duo	NN	duo
few	JJ	few
things	NNS	thing
did	VBD	do
n't	RB	n't
like	IN	like
nothing	NN	nothing
were	VBD	be
n't	RB	n't
main	JJ	main
post	NN	post
credits	NNS	credit
scene	NN	scene
yes	RB	yes
good	JJ	good
chuckle	NN	chuckle
but	CC	but
trying	VBG	try
accomplish	VB	accomplish
confused	JJ	confused
eager	JJ	eager
return	NN	return
whole	JJ	whole
nothing	NN	nothing
instead	RB	instead
just	RB	just
hear	VB	hear
random	JJ	random
assortment	NN	assortment
noises	NNS	noise
scream	VBP	scream
tries	NNS	try
set	VB	set
up	RP	up
sequel	NN	sequel
opinion	NN	opinion
was	VBD	be
n't	RB	n't
really	RB	really
necessary	JJ	necessary
nor	CC	nor
funny	JJ	funny
turtle	NN	turtle
crawled	VBD	crawl
frame	NN	frame
second	JJ	second
trailer	NN	trailer
saw	VBD	see
trailer	NN	trailer
dvd	NNS	<unknown>
like	IN	like
said	VBN	say
promotes	VBZ	promote
horror	NN	horror
never	RB	never
came	VBD	come
oh	UH	oh
well	RB	well
poor	JJ	poor
marketing	NN	marketing
guess	VBP	guess
rental	JJ	rental
store	NN	store
look	NN	look
nothing	NN	nothing
great	JJ	great
watch	NN	watch
big	JJ	big
screen	NN	screen
though	RB	though
want	VBP	want
wear	NN	wear
shades	NNS	shade
