when	WRB	when
rich	JJ	rich
tycoon	NN	tycoon
killed	VBD	kill
plane	NN	plane
crash	NN	crash
spinster	NN	spinster
twin	JJ	twin
sister	NN	sister
martha	NN	<unknown>
craig	NP	Craig
madge	NP	Madge
kennedy	NP	Kennedy
does	VBZ	do
n't	RB	n't
believe	VB	believe
grabbed	VBN	grab
controls	NNS	control
suicide	NN	suicide
dive	NN	dive
though	IN	though
self	NN	self
snuff	NN	snuff
runs	VBZ	run
family	NN	family
but	CC	but
beautiful	JJ	beautiful
daughters	NNS	daughter
could	MD	could
n't	RB	n't
care	VB	care
less	JJR	less
pilot	NN	pilot
jim	NN	<unknown>
norton	NN	Norton
john	NN	john
bromfield	NN	<unknown>
goes	VBZ	go
work	NN	work
valerie	NN	<unknown>
craig	NN	<unknown>
kathleen	NN	<unknown>
hughes	NNS	<unknown>
soon	RB	soon
coerces	VBZ	coerce
helping	VBG	help
wrest	NN	wrest
control	NN	control
estate	NN	estate
troubled	JJ	troubled
sister	NN	sister
lorna	NN	<unknown>
sara	NN	<unknown>
shane	NN	<unknown>
family	NN	family
lawyer	NN	lawyer
jess	NN	jess
barker	NN	barker
valerie	NN	<unknown>
wants	VBZ	want
norton	RB	<unknown>
seduce	VB	seduce
lorna	NN	<unknown>
he	PP	he
's	VBZ	be
not	RB	not
fending	VBG	fend
advances	NNS	advance
sister	NN	sister
nymphet	NN	nymphet
vicki	NP	Vicki
marla	NP	Marla
english	NN	English
but	CC	but
plans	VBZ	plan
thrown	VBN	throw
tailspin	NN	tailspin
norton	NN	Norton
falls	NNS	fall
prey	VBP	prey
all	DT	all
bets	NNS	bet
as	IN	as
world	NN	world
woe	NN	woe
including	VBG	include
corporate	JJ	corporate
chicanery	NN	chicanery
seductions	NNS	seduction
suicides	NNS	suicide
blackmail	VBP	blackmail
murder	NN	murder
plot	NN	plot
mann	NP	Mann
act	NN	act
double	RB	double
crosses	VBZ	cross
disfigurement	NN	disfigurement
poetic	JJ	poetic
