i	NP	i
saw	VBD	see
plays	NNS	play
playwrights	NNS	playwright
course	NN	course
tulane	NN	<unknown>
awed	VBD	awe
beautiful	JJ	beautiful
raw	JJ	raw
documentary	JJ	documentary
sincere	JJ	sincere
look	NN	look
unedited	JJ	unedited
reality	NN	reality
life	NN	life
solitude	NN	solitude
family	NN	family
fascinating	JJ	fascinating
thought	NN	thought
really	RB	really
showed	VBD	show
little	JJ	little
edie	NN	<unknown>
core	NN	core
as	IN	as
note	NN	note
professor	NN	professor
told	VBD	tell
filming	VBG	film
little	JJ	little
edie	NN	<unknown>
infatuated	JJ	infatuated
camera	NN	camera
men	NNS	man
beauty	NN	beauty
comes	VBZ	come
naturalness	NN	naturalness
family	NN	family
's	POS	's
dysfunction	NN	dysfunction
evident	JJ	evident
relationship	NN	relationship
mother	NN	mother
daughter	NN	daughter
neither	CC	neither
function	NN	function
society	NN	society
begin	VBP	begin
wish	VBP	wish
little	JJ	little
edie	NN	<unknown>
's	POS	's
rehabilitation	NN	rehabilitation
society	NN	society
all	DT	all
film	NN	film
gripping	VBG	grip
aesthetic	JJ	aesthetic
quality	NN	quality
it	PP	it
's	VBZ	be
portrayal	NN	portrayal
surprising	JJ	surprising
beauty	NN	beauty
thumbs	VBZ	thumb
way	NN	way
up	IN	up
