when	WRB	when
chamberlain	NN	chamberlain
family	NN	family
camping	VBG	camp
near	JJ	near
ayers	NNS	<unknown>
rock	NN	rock
australia	NN	<unknown>
lindy	NN	<unknown>
chamberlain	NN	chamberlain
meryl	NN	<unknown>
streep	NN	<unknown>
sees	VBZ	see
baby	NN	baby
dragged	VBN	drag
tent	NN	tent
dingo	NN	dingo
begins	VBZ	begin
ordeal	NN	ordeal
no	DT	no
experience	NN	experience
like	IN	like
dingo	NN	dingo
story	NN	story
not	RB	not
believed	VBD	believe
public	JJ	public
press	NN	press
whole	JJ	whole
thing	NN	thing
turns	VBZ	turn
circus	NN	circus
lindy	NN	<unknown>
does	VBZ	do
n't	RB	n't
help	VB	help
matters	NNS	matter
either	CC	either
wo	MD	wo
n't	RB	n't
play	VB	play
jury	NN	jury
courtroom	NN	courtroom
she	PP	she
's	VBZ	be
herself	PP	herself
she	PP	she
's	VBZ	be
tough	JJ	tough
nut	NN	nut
crack	NN	crack
course	NN	course
thinks	VBZ	think
she	PP	she
's	VBZ	be
guilty	JJ	guilty
there	EX	there
's	VBZ	be
piece	NN	piece
evidence	NN	evidence
has	VBZ	have
n't	RB	n't
come	VBN	come
light	JJ	light
sam	NN	<unknown>
neill	NN	<unknown>
excellent	JJ	excellent
as	IN	as
michael	NP	Michael
chamberlain	NN	chamberlain
seventh	JJ	seventh
day	NN	day
adventist	NN	Adventist
pastor	NN	pastor
doubts	VBZ	doubt
faith	NN	faith
wife	NN	wife
it	PP	it
's	VBZ	be
good	JJ	good
bad	JJ	bad
people	NNS	people
just	RB	just
as	RB	as
prejudiced	VBN	prejudice
stupid	JJ	stupid
as	IN	as
states	NNS	state
too	RB	too
australian	JJ	Australian
public	NN	public
does	VBZ	do
n't	RB	n't
believe	VB	believe
story	NN	story
media	NNS	medium
fans	NNS	fan
flames	VBZ	flame
eventually	RB	eventually
lindy	JJ	<unknown>
guilty	JJ	guilty
sent	VBN	send
prison	NN	prison
life	NN	life
hard	JJ	hard
labor	NN	labor
but	CC	but
years	NNS	year
later	RBR	later
missing	JJ	missing
piece	NN	piece
evidence	NN	evidence
shows	VBZ	show
up	IN	up
she	PP	she
's	VBZ	be
freed	VBN	free
but	CC	but
not	RB	not
family	NN	family
's	POS	's
life	NN	life
basically	RB	basically
ruined	VBN	ruin
heart	NN	heart
breaking	VBG	break
story	NN	story
very	RB	very
well	RB	well
bit	NN	bit
long	RB	long
but	CC	but
well	RB	well
worth	NN	worth
seeing	VBG	see
8	CD	8
10	CD	@card@
