it	PP	it
all	RB	all
clichs	VBZ	<unknown>
of	IN	of
type	NN	type
no	DT	no
substance	NN	substance
plot	NN	plot
went	VBD	go
end	NN	end
felt	VBD	feel
like	IN	like
sucker	NN	sucker
watching	VBG	watch
production	NN	production
good	JJ	good
however	RB	however
script	NN	script
acting	VBG	act
b	NN	b
quality	NN	quality
casting	VBG	cast
poor	JJ	poor
good	JJ	good
actors	NNS	actor
mixed	VBN	mix
crumby	JJ	crumby
actors	NNS	actor
good	JJ	good
actors	NNS	actor
did	VBD	do
n't	RB	n't
hold	VB	hold
nor	CC	nor
did	VBD	do
lift	VB	lift
up	RP	up
not	RB	not
worthy	JJ	worthy
more	JJR	more
words	NNS	word
but	CC	but
say	VBP	say
more	RBR	more
meet	VB	meet
minimum	JJ	minimum
requirement	NN	requirement
lines	NNS	line
james	NNS	<unknown>
wood	NN	wood
cuba	NN	<unknown>
gooding	NN	<unknown>
jr	NN	<unknown>
play	NN	play
caricatures	NNS	caricature
looking	VBG	look
mindless	JJ	mindless
entertainment	NN	entertainment
still	RB	still
would	MD	would
n't	RB	n't
recommend	VB	recommend
