this	DT	this
beginning	NN	beginning
all	RB	all
granted	VBD	grant
not	RB	not
friends	NNS	friend
best	VBP	best
but	CC	but
show	VBP	show
's	POS	's
pilot	NN	pilot
let	NN	let
's	VBZ	be
not	RB	not
forget	VB	forget
not	RB	not
bad	JJ	bad
we	PP	we
're	VBP	be
introduced	VBN	introduce
gang	NN	gang
central	JJ	central
perk	JJ	perk
story	NN	story
begins	VBZ	begin
episode	NN	episode
sign	NN	sign
ross	NN	<unknown>
rachel	NN	<unknown>
relationship	NN	relationship
come	VBN	come
years	NNS	year
ross	NN	<unknown>
says	VBZ	say
'	''	'
i	NNS	i
just	RB	just
want	VBP	want
married	VBN	marry
again	RB	again
'	''	'
rachel	NN	<unknown>
storms	NNS	storm
wedding	VBG	wed
dress	NN	dress
probably	RB	probably
not	RB	not
intentional	JJ	intentional
as	IN	as
time	NN	time
writers	NNS	writer
going	VBG	go
monica	NN	<unknown>
joey	NN	joey
relationship	NN	relationship
but	CC	but
fits	VBZ	fit
nicely	RB	nicely
looking	VBG	look
episode	NN	episode
rachel	NN	<unknown>
introduced	VBD	introduce
chandler	NN	chandler
as	IN	as
never	RB	never
met	VBN	meet
but	CC	but
later	JJR	late
episodes	NNS	episode
called	VBD	call
'	''	'
flashbacks	NNS	flashback
'	POS	'
contradicted	VBN	contradict
as	IN	as
met	VBN	meet
previous	JJ	previous
occasions	NNS	occasion
nevertheless	RB	nevertheless
point	VBP	point
fine	RB	fine
start	VB	start
great	JJ	great
episode	NN	episode
not	RB	not
usual	JJ	usual
friends	NNS	friend
as	IN	as
accustomed	JJ	accustomed
cast	NN	cast
still	RB	still
bit	VBD	bite
inexperienced	JJ	inexperienced
but	CC	but
few	JJ	few
episodes	NNS	episode
came	VBD	come
watching	VBG	watch
season	NN	season
blast	NN	blast
