this	DT	this
promote	VBP	promote
improvement	NN	improvement
mind	NN	mind
read	VBD	read
book	NN	book
it	PP	it
's	VBZ	be
incredible	JJ	incredible
think	VB	think
deserved	VBN	deserve
time	NN	time
investment	NN	investment
make	VBP	make
i	NNS	i
've	VBP	have
seen	VBN	see
"	``	"
b	NN	b
"	''	"
but	CC	but
"	``	"
c	NN	c
"	''	"
just	RB	just
invented	VBD	invent
did	VBD	do
n't	RB	n't
think	VB	think
enjoy	VB	enjoy
power	NN	power
rangers	NNS	ranger
kids	NNS	kid
stopped	VBD	stop
watching	VBG	watch
but	CC	but
myself	PP	myself
looking	VBG	look
videos	NNS	video
minutes	NNS	minute
"	``	"
knights	VBZ	knight
"	``	"
high	JJ	high
school	NN	school
productions	NNS	production
better	RBR	well
than	IN	than
actors	NNS	actor
involved	VBN	involve
erase	VBP	erase
resume	VB	resume
embarrassment	NN	embarrassment
many	JJ	many
descriptions	NNS	description
come	VBP	come
mind	NN	mind
roommate	NN	roommate
loves	VBZ	love
types	NNS	type
turned	VBD	turn
really	RB	really
tell	VB	tell
you	PP	you
watch	VB	watch
like	IN	like
pray	VB	pray
