i	NP	i
loved	VBD	love
film	NN	film
saw	VBD	see
20	CD	@card@
years	NNS	year
ago	RB	ago
enjoyed	VBD	enjoy
much	RB	much
brought	VBN	bring
copy	NN	copy
day	NN	day
comedy	NN	comedy
well	RB	well
played	VBD	play
all	DT	all
involved	VBD	involve
always	RB	always
rewind	VB	rewind
rewatch	NN	<unknown>
scene	NN	scene
mr	NN	Mr
tsanders	NNS	<unknown>
explains	VBZ	explain
water	NN	water
6	CD	6
ft	NNS	ft
area	NN	area
227	CD	@card@
feet	NNS	foot
area	NN	area
look	VBP	look
jason	NN	<unknown>
robards	NNS	<unknown>
father	NN	father
plays	VBZ	play
mr	NN	Mr
retch	VB	retch
talent	NN	talent
ran	VBD	run
family	NN	family
