i	NP	i
saw	VBD	see
bunch	NN	bunch
friends	NNS	friend
although	IN	although
walked	VBN	walk
cinema	NN	cinema
thinking	VBG	think
cool	NN	cool
just	RB	just
laughed	VBD	laugh
commented	VBD	comment
stupid	JJ	stupid
well	NN	well
is	VBZ	be
n't	RB	n't
supposed	VBN	suppose
taken	VBN	take
seriously	RB	seriously
basically	RB	basically
mocks	VBZ	mock
horror	NN	horror
flicks	NNS	flick
does	VBZ	do
damn	RB	damn
good	JJ	good
job	NN	job
coming	VBG	come
like	IN	like
too	RB	too
umm	JJ	<unknown>
scary	JJ	scary
well	NN	well
aussie	NN	Aussie
original	JJ	original
jessica	NN	<unknown>
napier	NN	<unknown>
does	VBZ	do
surperb	NN	<unknown>
performance	NN	performance
sarah	NN	<unknown>
kants	NNS	<unknown>
definate	VBP	<unknown>
bright	JJ	bright
future	JJ	future
acting	NN	acting
hope	VBP	hope
more	JJR	more
molly	NN	molly
ringwald	NN	<unknown>
good	JJ	good
kylie	NN	<unknown>
better	RBR	well
impossible	JJ	impossible
princess	NN	princess
queen	NN	queen
screen	NN	screen
recommend	VBP	recommend
seeing	VBG	see
flick	NN	flick
as	IN	as
you	PP	you
'll	MD	will
guessing	VBG	guess
very	RB	very
end	NN	end
connection	NN	connection
raffy	JJ	<unknown>
hilary	NN	<unknown>
never	RB	never
got	VBD	get
finished	VBD	finish
20	CD	@card@
years	NNS	year
ago	RB	ago
