i	NP	i
should	MD	should
n't	RB	n't
review	VB	review
it	PP	it
's	VBZ	be
not	RB	not
actually	RB	actually
horror	NN	horror
thus	RB	thus
not	RB	not
worthy	JJ	worthy
dr	NN	Dr
cheese	NN	cheese
's	VBZ	be
attention	NN	attention
least	RBS	least
it	PP	it
's	VBZ	be
not	RB	not
horror	NN	horror
usual	JJ	usual
sense	NN	sense
it	PP	it
's	VBZ	be
certainly	RB	certainly
horrifying	VBG	horrify
proposition	NN	proposition
waste	NN	waste
time	NN	time
watching	VBG	watch
crap	NN	crap
that	WDT	that
's	VBZ	have
turned	VBN	turn
hours	NNS	hour
imagine	VBP	imagine
surprise	NN	surprise
clock	NN	clock
showed	VBD	show
45	CD	@card@
minutes	NNS	minute
passed	VBD	pass
yep	NN	<unknown>
that	WDT	that
's	VBZ	be
right	RB	right
plain	JJ	plain
terms	NNS	term
b	SYM	b
o	NN	o
r	NN	r
n	NN	n
g	NN	g
"	``	"
the	DT	the
order	NN	order
"	``	"
lots	NNS	lot
flaws	NNS	flaw
not	RB	not
all	DT	all
unique	JJ	unique
particular	JJ	particular
main	JJ	main
problem	NN	problem
"	``	"
religious	JJ	religious
"	''	"
subgenre	NN	<unknown>
horror	NN	horror
films	NNS	film
hollywood	NN	<unknown>
's	POS	's
unwillingness	NN	unwillingness
engage	VBP	engage
christianity	NN	Christianity
terms	NNS	term
quite	RB	quite
possible	RB	possible
make	VB	make
truly	RB	truly
creepy	JJ	creepy
films	NNS	film
orthodox	JJ	orthodox
just	RB	just
ask	VBP	ask
william	RB	<unknown>
peter	VB	peter
blatty	JJ	<unknown>
fact	NN	fact
orthodoxy	NN	orthodoxy
films	NNS	film
like	IN	like
just	RB	just
goes	VBZ	go
smorgasbord	NN	smorgasbord
filmmakers	NNS	filmmaker
'	POS	'
usually	RB	usually
dull	JJ	dull
illogical	JJ	illogical
imaginations	NNS	imagination
think	VBP	think
ostensibly	RB	ostensibly
say	VB	say
physics	NNS	physic
but	CC	but
not	RB	not
got	VBD	get
basic	JJ	basic
laws	NNS	law
physics	NNS	physic
wrong	JJ	wrong
but	CC	but
based	VBN	base
entire	JJ	entire
plot	NN	plot
wrong	JJ	wrong
portrayals	NNS	portrayal
soon	RB	soon
tired	VBD	tire
resulting	VBG	result
pointless	JJ	pointless
plot	NN	plot
goes	VBZ	go
sorts	NNS	sort
words	NNS	word
"	``	"
the	DT	the
order	NN	order
"	``	"
many	RB	many
similar	JJ	similar
invent	VBP	invent
whole	JJ	whole
cloth	NN	cloth
stuff	NN	stuff
catholic	JJ	catholic
church	NN	church
christian	JJ	Christian
faith	NN	faith
attempt	NN	attempt
build	VB	build
plot	NN	plot
inventions	NNS	invention
unsurprisingly	RB	unsurprisingly
plot	NN	plot
ends	VBZ	end
up	RP	up
incoherent	JJ	incoherent
stupid	JJ	stupid
added	JJ	added
charm	NN	charm
as	IN	as
interesting	JJ	interesting
watch	NN	watch
as	RB	as
toenails	VBZ	toenail
growing	VBG	grow
avoid	VB	avoid
steaming	VBG	steam
pile	NN	pile
