i	NP	i
thought	VBD	think
fantastic	JJ	fantastic
hilarious	JJ	hilarious
kinda	RB	kinda
reminded	VBN	remind
spinal	NN	spinal
tap	VB	tap
any	DT	any
fan	NN	fan
70	CD	@card@
's	POS	's
rock	NN	rock
hope	NN	hope
friends	NNS	friend
are	VBP	be
n't	RB	n't
like	IN	like
years	NNS	year
nighy	NN	<unknown>
gives	VBZ	give
excellent	JJ	excellent
performance	NN	performance
as	IN	as
kilter	NN	kilter
lead	NN	lead
singer	NN	singer
trying	VBG	try
recapture	NN	recapture
old	JJ	old
spirit	NN	spirit
stephen	NN	<unknown>
rea	NN	rea
fits	VBZ	fit
perfectly	RB	perfectly
as	IN	as
glue	NN	glue
trying	VBG	try
hold	NN	hold
band	NN	band
but	CC	but
not	RB	not
succeeding	VBG	succeed
well	RB	well
love	NN	love
music	NN	music
band	NN	band
definitely	RB	definitely
you	PP	you
wo	MD	wo
n't	RB	n't
regret	VB	regret
seeing	VBG	see
know	VB	know
do	VBP	do
n't	RB	n't
family	NN	family
funny	NN	funny
that	WDT	that
's	VBZ	be
saying	VBG	say
