i	NP	i
hoping	VBG	hope
film	NN	film
going	VBG	go
least	JJS	least
watchable	JJ	watchable
plot	NN	plot
weak	JJ	weak
say	VBP	say
least	JJS	least
expecting	VBG	expect
lot	RB	lot
more	RBR	more
considering	VBG	consider
cast	NN	cast
line	NN	line
up	RB	up
wonder	VBP	wonder
any	DT	any
include	VBP	include
cvs	NNS	<unknown>
least	JJS	least
did	VBD	do
n't	RB	n't
pay	VB	pay
rent	VB	rent
best	JJS	good
film	NN	film
definitely	RB	definitely
dani	NN	<unknown>
behr	NN	<unknown>
but	CC	but
rest	NN	rest
film	NN	film
complete	JJ	complete
utter	JJ	utter
pants	NNS	pant
