when	WRB	when
started	VBD	start
watching	VBG	watch
looking	VBG	look
kind	JJ	kind
subtle	JJ	subtle
metaphors	NNS	metaphor
but	CC	but
soon	RB	soon
dawned	VBN	dawn
people	NNS	people
train	VBP	train
interactions	NNS	interaction
people	NNS	people
like	IN	like
any	DT	any
day	NN	day
street	NN	street
occasion	NN	occasion
slightly	RB	slightly
more	RBR	more
interesting	JJ	interesting
situation	NN	situation
dialogue	NN	dialogue
stilted	VBD	stilt
boring	JJ	boring
not	RB	not
do	VBP	do
n't	RB	n't
film	VB	film
trying	VBG	try
portray	VB	portray
way	NN	way
people	NNS	people
interact	VBP	interact
it	PP	it
's	VBZ	be
just	RB	just
film	NN	film
very	RB	very
boring	JJ	boring
want	VBP	want
analyse	VB	analyse
kinds	NNS	kind
relationships	NNS	relationship
you	PP	you
'd	MD	will
best	RBS	well
actually	RB	actually
buy	VB	buy
train	NN	train
ticket	NN	ticket
look	NN	look
people	NNS	people
train	VBP	train
realistic	JJ	realistic
but	CC	but
would	MD	would
n't	RB	n't
to	TO	to
watch	VB	watch
film	NN	film
sitting	VBG	sit
watching	VBG	watch
