the	DT	the
various	JJ	various
nudity	NN	nudity
scenes	NNS	scene
reviewers	NNS	reviewer
referred	VBD	refer
poorly	RB	poorly
body	VB	body
double	RB	double
obviously	RB	obviously
used	VBN	use
ms	NN	Ms
pacula	NN	<unknown>
reluctant	JJ	reluctant
scenes	NNS	scene
herself	PP	herself
turned	VBD	turn
role	NN	role
offer	NN	offer
not	RB	not
any	RB	any
worse	JJR	bad
than	IN	than
typical	JJ	typical
canadian	NN	Canadian
as	IN	as
reviewers	NNS	reviewer
pointed	VBD	point
canadian	NN	Canadian
generally	RB	generally
poorly	RB	poorly
written	VBN	write
lack	NN	lack
entertainment	NN	entertainment
value	NN	value
most	JJS	most
watchers	NNS	watcher
hoping	VBG	hope
canadian	JJ	Canadian
producers	NNS	producer
consciously	RB	consciously
trying	VBG	try
"	``	"
de	FW	de
commercialize	VB	commercialize
"	''	"
but	CC	but
forgotten	VBN	forget
very	RB	very
important	JJ	important
thing	NN	thing
definition	NN	definition
commercial	JJ	commercial
thing	NN	thing
