this	DT	this
worst	JJS	bad
seen	VBN	see
"	``	"
date	NN	date
"	''	"
laughing	VBG	laugh
whole	RP	whole
instead	RB	instead
scared	VBN	scare
funny	JJ	funny
snakes	NNS	snake
search	VBP	search
particular	JJ	particular
section	NN	section
passengers	NNS	passenger
body	NN	body
attack	NN	attack
example	NN	example
eye	NN	eye
tongue	NN	tongue
butt	NN	butt
breast	NN	breast
seen	VBN	see
national	JJ	national
geographic	JJ	geographic
channel	NN	channel
know	VBP	know
snakes	NNS	snake
wont	VBP	wont
stay	VB	stay
clinched	VBN	clinch
body	NN	body
bite	NN	bite
particular	JJ	particular
scene	NN	scene
snakes	VBZ	snake
bite	NN	bite
passengers	NNS	passenger
stay	VBP	stay
body	NN	body
biting	VBG	bite
person	NN	person
believe	VBP	believe
producer	NN	producer
did	VBD	do
not	RB	not
study	VB	study
information	NN	information
snakes	NNS	snake
behavior	NN	behavior
cant	NN	cant
believe	VBP	believe
wasted	VBN	waste
money	NN	money
do	VBP	do
n't	RB	n't
recommend	VB	recommend
trust	NN	trust
just	RB	just
wait	VB	wait
dollar	NN	dollar
theatre	NN	theatre
rent	NN	rent
