i	NP	i
never	RB	never
known	VBN	know
film	NN	film
arouse	VB	arouse
debate	NN	debate
life	NN	life
believe	VBP	believe
say	VB	say
film	NN	film
eventually	RB	eventually
remembered	VBN	remember
as	IN	as
all	DT	all
time	NN	time
classic	JJ	classic
waiting	VBG	wait
anticipation	NN	anticipation
film	NN	film
as	IN	as
previously	RB	previously
loved	VBN	love
lock	JJ	lock
stock	NN	stock
snatch	VB	snatch
but	CC	but
negative	JJ	negative
reviews	NNS	review
thought	VBD	think
very	RB	very
disappointed	JJ	disappointed
absolutely	RB	absolutely
loved	VBN	love
film	NN	film
ca	MD	ca
n't	RB	n't
wait	VB	wait
again	RB	again
film	NN	film
totally	RB	totally
different	JJ	different
aforementioned	JJ	aforementioned
ritchie	NN	<unknown>
films	NNS	film
lot	RB	lot
better	RBR	well
pick	VB	pick
favourite	JJ	favourite
directors	NNS	director
but	CC	but
none	NN	none
pulled	VBD	pull
as	RB	as
great	JJ	great
as	IN	as
guy	NN	guy
ritchie	NN	<unknown>
just	RB	just
believe	VBP	believe
taken	VBN	take
making	VBG	make
level	NN	level
know	VBP	know
most	JJS	most
people	NNS	people
laughing	VBG	laugh
comment	NN	comment
guaging	VBG	<unknown>
reaction	NN	reaction
film	NN	film
but	CC	but
believe	VB	believe
time	NN	time
prove	VB	prove
right	RB	right
very	RB	very
confusing	JJ	confusing
carried	VBD	carry
much	RB	much
longer	RBR	longer
than	IN	than
2hr	JJ	<unknown>
running	VBG	run
time	NN	time
as	RB	as
could	MD	could
n't	RB	n't
stop	VB	stop
thinking	NN	thinking
trying	VBG	try
piece	NN	piece
things	NNS	thing
got	VBD	get
pretty	RB	pretty
good	JJ	good
happens	VBZ	happen
film	NN	film
answers	NNS	answer
endless	JJ	endless
hours	NNS	hour
thinking	VBG	think
answers	NNS	answer
reading	VBG	read
people	NNS	people
's	POS	's
film	NN	film
cannot	MD	can
wait	VB	wait
sunday	NN	Sunday
again	RB	again
just	RB	just
hope	VB	hope
people	NNS	people
cinema	NN	cinema
open	JJ	open
mind	NN	mind
hopefully	RB	hopefully
rewarded	VBN	reward
as	IN	as
many	JJ	many
