we	PP	we
stumbled	VBD	stumble
documentary	JJ	documentary
grey	JJ	grey
gardens	NNS	garden
sunday	NN	Sunday
got	VBD	get
"	``	"
sucked	VBN	suck
in	IN	in
"	``	"
warning	NN	warning
entered	VBD	enter
room	NN	room
transfixed	VBD	transfix
television	NN	television
haunting	NN	haunting
images	NNS	image
edith	NN	<unknown>
edie	NN	<unknown>
living	NN	living
lives	VBZ	live
practically	RB	practically
room	NN	room
large	JJ	large
filthy	JJ	filthy
mansion	NN	mansion
beach	NN	beach
eating	VBG	eat
ice	NN	ice
cream	NN	cream
corn	NN	corn
cob	NN	cob
cooked	VBN	cook
bedside	NN	bedside
table	NN	table
cat	NN	cat
urinating	VBG	urinate
edith	NN	<unknown>
's	POS	's
bed	NN	bed
unbelievable	JJ	unbelievable
words	NNS	word
"	''	"
i	NNS	i
thrive	VBP	thrive
smell	NN	smell
"	``	"
not	RB	not
seen	VBN	see
beginning	NN	beginning
wondered	VBD	wonder
watching	VBG	watch
aristocratic	JJ	aristocratic
women	NNS	woman
managed	VBD	manage
position	NN	position
spellbinding	VBG	spellbind
