to	TO	to
honest	JJ	honest
did	VBD	do
n't	RB	n't
like	IN	like
much	JJ	much
saw	NN	saw
time	NN	time
but	CC	but
guess	NN	guess
trouble	NN	trouble
have	VBP	have
n't	RB	n't
seen	VBN	see
theater	NN	theater
big	JJ	big
mistake	NN	mistake
1	CD	1
thing	NN	thing
cliffhanger	NN	cliffhanger
settings	NNS	setting
2	CD	2
cinematography	NN	cinematography
try	VBP	try
largest	JJS	large
tv	NN	tv
possible	JJ	possible
great	JJ	great
sound	JJ	sound
music	NN	music
good	NN	good
puts	VBZ	put
higher	JJR	high
level	NN	level
commercial	JJ	commercial
potential	NN	potential
more	RBR	more
more	JJR	more
like	IN	like
it	PP	it
's	VBZ	be
definitely	RB	definitely
renny	JJ	<unknown>
harlin	NN	<unknown>
's	POS	's
best	JJS	good
guy	NN	guy
knows	VBZ	know
action	NN	action
die	VB	die
hard	RB	hard
2	CD	2
long	JJ	long
kiss	NN	kiss
good	JJ	good
bye	NN	bye
it	PP	it
's	VBZ	be
particularly	RB	particularly
good	JJ	good
special	JJ	special
effect	NN	effect
great	JJ	great
spectacular	JJ	spectacular
stallone	NN	<unknown>
really	RB	really
needed	VBN	need
success	NN	success
still	RB	still
good	JJ	good
