yes	UH	yes
i	NP	i
'm	VBP	be
going	VBG	go
1	CD	1
0	CD	0
here	RB	here
's	VBZ	be
few	JJ	few
years	NNS	year
watched	VBD	watch
quite	RB	quite
few	JJ	few
comedies	NNS	comedy
left	VBD	leave
few	JJ	few
mild	JJ	mild
laughs	NNS	laugh
couple	NN	couple
video	NN	video
rental	JJ	rental
late	JJ	late
fees	NNS	fee
easy	RB	easy
forget	VBP	forget
stumble	VB	stumble
"	``	"
nothing	NN	nothing
"	''	"
looked	VBN	look
interesting	JJ	interesting
was	VBD	be
n't	RB	n't
expecting	VBG	expect
much	RB	much
though	RB	though
wrong	JJ	wrong
probably	RB	probably
funniest	JJS	funny
chance	NN	chance
watch	NN	watch
dave	NN	<unknown>
andrew	NNS	<unknown>
make	VBP	make
great	JJ	great
comedic	JJ	comedic
pair	NN	pair
humor	NN	humor
catchy	JJ	catchy
enough	RB	enough
remember	VB	remember
but	CC	but
not	RB	not
complex	JJ	complex
point	NN	point
missing	VBG	miss
joke	NN	joke
do	VBP	do
n't	RB	n't
want	VB	want
remark	VB	remark
any	DT	any
actual	JJ	actual
scenes	NNS	scene
feel	VBP	feel
worth	NN	worth
seeing	VBG	see
more	RBR	more
more	JJR	more
pointless	JJ	pointless
concepts	NNS	concept
coming	VBG	come
know	VB	know
like	IN	like
killer	NN	killer
military	JJ	military
jets	NNS	jet
"	``	"
fresh	JJ	fresh
"	''	"
remakes	NNS	remake
ruining	VBG	ruin
old	JJ	old
classics	NNS	classic
make	VBP	make
happy	JJ	happy
say	VBP	say
it	PP	it
's	VBZ	be
ok	VB	ok
laugh	NN	laugh
"	``	"
nothing	NN	nothing
"	''	"
