my	PP$	my
girlfriend	NN	girlfriend
brought	VBD	bring
zombie	NN	zombie
chronicles	NNS	chronicle
watch	VBP	watch
as	IN	as
joke	NN	joke
little	RB	little
did	VBD	do
realize	VB	realize
joke	NN	joke
paying	VBG	pay
1	CD	1
while	IN	while
watching	VBG	watch
film	NN	film
started	VBD	start
come	VB	come
up	RP	up
things	NNS	thing
doing	VBG	do
than	IN	than
watching	VBG	watch
zombie	NN	zombie
chronicles	NNS	chronicle
included	VBD	include
1	CD	1
drinking	NN	drinking
bleach	NN	bleach
2	CD	2
rubbing	NN	rubbing
sand	NN	sand
eyes	NNS	eye
3	CD	3
writing	VBG	write
letter	NN	letter
brad	NN	brad
sykes	NNS	<unknown>
garrett	NN	<unknown>
clancy	NN	<unknown>
4	CD	4
enacting	VBG	enact
american	JJ	American
civil	JJ	civil
war	NN	war
5	CD	5
tax	NN	tax
returns	VBZ	return
6	CD	6
gcse	NN	<unknown>
maths	NN	maths
7	CD	7
sex	NN	sex
old	JJ	old
lady	NN	lady
garrett	NN	<unknown>
clancy	NN	<unknown>
aka	NN	aka
sgt	NP	Sgt
ben	NP	ben
draper	NN	draper
wrote	VBD	write
guy	NN	guy
could	MD	could
n't	RB	n't
dig	VB	dig
hole	VB	hole
properly	RB	properly
best	JJS	good
ting	NN	ting
did	VBD	do
kick	NN	kick
door	NN	door
best	JJS	good
film	NN	film
worst	NN	worst
film	NN	film
seen	VBN	see
i	NP	i
've	VBP	have
seen	VBN	see
white	JJ	white
noise	NN	noise
light	NN	light
never	RB	never
film	NN	film
many	JJ	many
mistakes	NNS	mistake
girlfriend	NN	girlfriend
left	VBD	leave
live	JJ	live
shame	NN	shame
owning	VBG	own
piece	NN	piece
crap	NN	crap
news	NN	news
just	RB	just
owen	NN	<unknown>
wilson	NN	<unknown>
watched	VBD	watch
film	NN	film
tried	VBD	try
kill	VB	kill
himself	PP	himself
fact	NN	fact
not	RB	not
watch	VBP	watch
