i	NP	i
was	VBD	be
n't	RB	n't
expecting	VBG	expect
impacted	JJ	impacted
film	NN	film
portraying	VBG	portray
family	NN	family
just	RB	just
like	IN	like
you	PP	you
'd	MD	will
expect	VB	expect
living	VBG	live
door	NN	door
ordinary	JJ	ordinary
flesh	NN	flesh
blood	NN	blood
people	NNS	people
not	RB	not
like	IN	like
typical	JJ	typical
hollywood	NN	<unknown>
fare	NN	fare
face	VBP	face
all	DT	all
too	RB	too
common	JJ	common
problem	NN	problem
debilitating	JJ	debilitating
illness	NN	illness
but	CC	but
story	NN	story
line	NN	line
grips	VBZ	grip
heart	NN	heart
powerful	JJ	powerful
lesson	NN	lesson
casting	VBG	cast
script	NN	script
direction	NN	direction
acting	VBG	act
flow	NN	flow
surge	NN	surge
draws	VBZ	draw
viewer	NN	viewer
deep	JJ	deep
story	NN	story
film	NN	film
full	JJ	full
attention	NN	attention
message	NN	message
truly	RB	truly
inspire	VB	inspire
