my	PP$	my
friends	NNS	friend
walked	VBD	walk
15	CD	@card@
minutes	NNS	minute
were	VBD	be
n't	RB	n't
tried	VBN	try
money	NN	money
theater	NN	theater
management	NN	management
would	MD	would
n't	RB	n't
allow	VB	allow
but	CC	but
did	VBD	do
agree	VB	agree
let	VB	let
film	NN	film
time	NN	time
worked	VBD	work
dickie	NN	<unknown>
roberts	NNS	<unknown>
child	NN	child
star	NN	star
as	IN	as
tell	NN	tell
was	VBD	be
n't	RB	n't
memorable	JJ	memorable
night	RB	night
probably	RB	probably
worst	JJS	bad
nights	NNS	night
close	JJ	close
second	NN	second
saw	VBD	see
double	JJ	double
header	NN	header
domestic	JJ	domestic
disturbance	NN	disturbance
heist	NN	heist
conclusion	NN	conclusion
sake	NN	sake
humanity	NN	humanity
do	VBP	do
n't	RB	n't
order	VB	order
