when	WRB	when
spotted	VBN	spot
noah	NN	<unknown>
wyle	NN	<unknown>
ricky	JJ	<unknown>
schroder	NN	<unknown>
like	IN	like
score	NN	score
admit	VBP	admit
eager	JJ	eager
to	TO	to
say	VB	say
minutes	NNS	minute
nostalgic	JJ	nostalgic
way	NN	way
went	VBD	go
all	DT	all
hill	NN	hill
did	VBD	do
n't	RB	n't
expect	VB	expect
dump	VBP	dump
politically	RB	politically
correct	VB	correct
civil	JJ	civil
rights	NNS	right
mumbo	NN	mumbo
jumbo	NN	jumbo
took	VBD	take
possible	JJ	possible
controversial	JJ	controversial
topic	NN	topic
threw	VBD	throw
stupid	JJ	stupid
story	NN	story
appalled	VBN	appall
noah	NP	Noah
involved	JJ	involved
sort	NN	sort
especially	RB	especially
role	NN	role
nobody	NN	nobody
fully	RB	fully
functional	JJ	functional
brain	NN	brain
actually	RB	actually
accept	VB	accept
all	DT	all
crap	NN	crap
vietnam	NN	<unknown>
war	NN	war
really	RB	really
wants	VBZ	want
know	VB	know
communism	NN	communism
like	IN	like
sit	NN	sit
read	VBP	read
book	NN	book
not	RB	not
praises	VBZ	praise
against	IN	against
just	RB	just
cold	JJ	cold
hard	JJ	hard
facts	NNS	fact
watched	VBD	watch
few	JJ	few
scenes	NNS	scene
wanted	VBD	want
ricky	NN	<unknown>
's	POS	's
body	NN	body
but	CC	but
all	DT	all
interested	JJ	interested
irritated	JJ	irritated
